"Gene","Entry.Name","UniProt.ID","Description","logFC","P.Val","adj.P.Val","log.P.Val","log.adj.P.Val","n_data_points_BK516_Ctrl","n_data_points_BK516_Cflag","imputed_BK516_Cflag","imputed_BK516_Ctrl","is_significant"
"GENE0059","GENE0059_HUMAN","P60913","Protein GENE0059",0.2593,1,0.983122,0,0.0074,2,3,FALSE,FALSE,FALSE
"GENE2546","GENE2546_HUMAN","P14075","Protein GENE2546",-0.0802,1,0.76827,0,0.1145,2,4,FALSE,FALSE,FALSE
"GENE1433","GENE1433_HUMAN","P69588","Protein GENE1433",0.1176,0.362754,0.313763,0.1373,0.5034,5,4,FALSE,TRUE,FALSE
"GENE1516","GENE1516_HUMAN","P66951","Protein GENE1516",0.5541,0.592632,0.454679,0,0.3423,3,4,FALSE,FALSE,FALSE
"GENE1650","GENE1650_HUMAN","P55780","Protein GENE1650",0.3417,1,0.881119,0,0.055,4,5,FALSE,FALSE,FALSE
"GENE0794","GENE0794_HUMAN","P94065","Protein GENE0794",-0.0587,1,0.957771,0,0.0187,5,2,FALSE,FALSE,FALSE
"GENE1533","GENE1533_HUMAN","P74453","Protein GENE1533",0.1834,0.402939,0.36329,0,0.4397,2,5,FALSE,FALSE,FALSE
"GENE0023","GENE0023_HUMAN","P17876","Protein GENE0023",0.1333,1,0.730356,0.0634,0.1365,3,6,FALSE,FALSE,FALSE
"GENE2511","GENE2511_HUMAN","P09977","Protein GENE2511",-0.0395,1,0.963019,0,0.0164,4,3,FALSE,FALSE,FALSE
"GENE0434","GENE0434_HUMAN","P24227","Protein GENE0434",-3.0316,0.052525,0.017901,1.3485,1.7471,5,6,FALSE,FALSE,TRUE
"GENE2439","GENE2439_HUMAN","P19962","Protein GENE2439",0.3775,1,0.635545,0,0.1969,3,5,FALSE,FALSE,FALSE
"GENE0008","GENE0008_HUMAN","P03377","Protein GENE0008",-0.2372,0.243954,0.064765,0.9775,1.1887,5,2,TRUE,FALSE,FALSE
"GENE2294","GENE2294_HUMAN","P09640","Protein GENE2294",2.4455,0.155783,0.032603,1.2358,1.4867,3,2,FALSE,FALSE,TRUE
"GENE0940","GENE0940_HUMAN","P89536","Protein GENE0940",-0.1215,1,0.893495,0,0.0489,6,5,TRUE,FALSE,FALSE
"GENE1327","GENE1327_HUMAN","P22038","Protein GENE1327",0.1643,1,0.619671,0,0.2078,6,6,TRUE,FALSE,FALSE
"GENE0159","GENE0159_HUMAN","P59766","Protein GENE0159",-0.4181,0.210782,0.069056,0.7571,1.1608,2,6,FALSE,FALSE,FALSE
"GENE0089","GENE0089_HUMAN","P61381","Protein GENE0089",0.397,1,0.357407,0.2375,0.4468,6,2,FALSE,FALSE,FALSE
"GENE2720","GENE2720_HUMAN","P39603","Protein GENE2720",0.6391,1,0.221121,0.1433,0.6554,2,3,FALSE,FALSE,FALSE
"GENE1740","GENE1740_HUMAN","P30103","Protein GENE1740",-0.191,1,0.294415,0,0.531,5,2,FALSE,FALSE,FALSE
"GENE2167","GENE2167_HUMAN","P49350","Protein GENE2167",0.1672,1,0.773209,0,0.1117,6,6,FALSE,FALSE,FALSE
"GENE1168","GENE1168_HUMAN","P97507","Protein GENE1168",0.5682,1,0.602545,0,0.22,3,4,FALSE,FALSE,FALSE
"GENE0090","GENE0090_HUMAN","P84385","Protein GENE0090",-0.1396,0.830522,0.331267,0.1436,0.4798,4,4,FALSE,FALSE,FALSE
"GENE2458","GENE2458_HUMAN","P07801","Protein GENE2458",-0.3303,1,0.697423,0,0.1565,5,4,FALSE,FALSE,FALSE
"GENE1882","GENE1882_HUMAN","P95044","Protein GENE1882",-0.6663,1,0.929179,0,0.0319,5,5,FALSE,FALSE,FALSE
"GENE0155","GENE0155_HUMAN","P47601","Protein GENE0155",0.5774,1,0.907259,0,0.0423,2,4,FALSE,FALSE,FALSE
"GENE0443","GENE0443_HUMAN","P04350","Protein GENE0443",-4.0301,0.094518,0.030426,1.0093,1.5168,2,3,FALSE,FALSE,TRUE
"GENE0589","GENE0589_HUMAN","P42311","Protein GENE0589",0.0158,1,0.887819,0,0.0517,4,6,FALSE,FALSE,FALSE
"GENE2689","GENE2689_HUMAN","P07892","Protein GENE2689",-0.0092,1,0.527251,0.1602,0.278,5,6,FALSE,TRUE,FALSE
"GENE0705","GENE0705_HUMAN","P78327","Protein GENE0705",-0.2777,0.721407,0.194964,0.0809,0.71,3,6,FALSE,FALSE,FALSE
"GPATCH1","GPATCH1_HUMAN","P91006","Protein GPATCH1",0.0065,1,0.536697,0,0.2703,3,4,TRUE,FALSE,FALSE
"GENE2743","GENE2743_HUMAN","P53612","Protein GENE2743",-0.4812,0.808245,0.732367,0,0.1353,6,4,FALSE,FALSE,FALSE
"GENE2313","GENE2313_HUMAN","P23426","Protein GENE2313",-0.5392,0.549266,0.474796,0.0836,0.3235,3,5,TRUE,FALSE,FALSE
"GENE1787","GENE1787_HUMAN","P49279","Protein GENE1787",0.0661,1,0.602953,0,0.2197,5,5,FALSE,FALSE,FALSE
"GENE1873","GENE1873_HUMAN","P88293","Protein GENE1873",-3.9604,0.156521,0.037296,0.9374,1.4283,6,4,FALSE,FALSE,TRUE
"GENE0012","GENE0012_HUMAN","P94854","Protein GENE0012",0.4847,1,0.585343,0,0.2326,6,4,TRUE,FALSE,FALSE
"GENE0899","GENE0899_HUMAN","P99518","Protein GENE0899",-0.3619,0.496017,0.364601,0,0.4382,3,4,FALSE,FALSE,FALSE
"GENE0367","GENE0367_HUMAN","P84540","Protein GENE0367",-0.3435,0.496272,0.113641,0.6942,0.9445,5,2,FALSE,FALSE,FALSE
"GENE2215","GENE2215_HUMAN","P94221","Protein GENE2215",0.1502,1,0.792619,0,0.1009,3,2,FALSE,FALSE,FALSE
"GENE0315","GENE0315_HUMAN","P96298","Protein GENE0315",-0.1901,0.942007,0.495688,0,0.3048,3,3,FALSE,FALSE,FALSE
"GENE0072","GENE0072_HUMAN","P21572","Protein GENE0072",0.7013,0.628186,0.154262,0.2944,0.8117,4,2,FALSE,FALSE,FALSE
"GENE1568","GENE1568_HUMAN","P19510","Protein GENE1568",-0.4263,0.700847,0.310108,0,0.5085,3,2,FALSE,FALSE,FALSE
"GENE1505","GENE1505_HUMAN","P07056","Protein GENE1505",0.2922,1,0.593559,0,0.2265,6,5,FALSE,FALSE,FALSE
"GENE2454","GENE2454_HUMAN","P27558","Protein GENE2454",-0.4705,1,0.64209,0,0.1924,6,2,FALSE,FALSE,FALSE
"GENE1898","GENE1898_HUMAN","P80479","Protein GENE1898",-0.6587,1,0.601861,0,0.2205,6,6,FALSE,FALSE,FALSE
"GENE2820","GENE2820_HUMAN","P67623","Protein GENE2820",0.3354,0.461731,0.43043,0,0.3661,5,2,FALSE,FALSE,FALSE
"GENE2569","GENE2569_HUMAN","P12325","Protein GENE2569",0.4699,0.446118,0.097409,0.3437,1.0114,6,5,FALSE,FALSE,FALSE
"GENE1854","GENE1854_HUMAN","P73782","Protein GENE1854",-0.0266,1,0.832191,0,0.0798,4,5,FALSE,FALSE,FALSE
"GENE1680","GENE1680_HUMAN","P34221","Protein GENE1680",-0.2063,1,0.955499,0,0.0198,3,2,FALSE,TRUE,FALSE
"GENE0563","GENE0563_HUMAN","P01472","Protein GENE0563",-0.2131,1,0.556896,0,0.2542,3,6,FALSE,FALSE,FALSE
"GENE0156","GENE0156_HUMAN","P06688","Protein GENE0156",-0.2431,1,0.387312,0,0.4119,4,6,FALSE,FALSE,FALSE
"GENE0087","GENE0087_HUMAN","P56936","Protein GENE0087",3.2162,0.095667,0.025372,1.1724,1.5956,6,2,TRUE,FALSE,TRUE
"GENE2211","GENE2211_HUMAN","P60081","Protein GENE2211",0.065,1,0.836842,0,0.0774,6,5,FALSE,FALSE,FALSE
"GENE1043","GENE1043_HUMAN","P22943","Protein GENE1043",0.0728,0.892463,0.692538,0,0.1596,4,3,FALSE,FALSE,FALSE
"GENE2379","GENE2379_HUMAN","P26430","Protein GENE2379",0.1528,1,0.361033,0.237,0.4425,5,6,FALSE,FALSE,FALSE
"GENE0076","GENE0076_HUMAN","P34935","Protein GENE0076",0.9555,1,0.784015,0,0.1057,5,4,FALSE,FALSE,FALSE
"GENE2198","GENE2198_HUMAN","P42043","Protein GENE2198",-0.1136,0.415718,0.109589,0.3641,0.9602,3,2,TRUE,FALSE,FALSE
"GENE0398","GENE0398_HUMAN","P46149","Protein GENE0398",0.4484,1,0.785456,0,0.1049,6,6,FALSE,FALSE,FALSE
"GENE2021","GENE2021_HUMAN","P14593","Protein GENE2021",-0.1862,0.310208,0.072003,0.5568,1.1426,2,4,FALSE,FALSE,FALSE
"GENE2821","GENE2821_HUMAN","P41797","Protein GENE2821",0.5424,1,0.819224,0,0.0866,5,4,FALSE,FALSE,FALSE
"GENE2015","GENE2015_HUMAN","P05262","Protein GENE2015",0.1141,1,0.982722,0,0.0076,5,5,FALSE,FALSE,FALSE
"GENE0365","GENE0365_HUMAN","P11996","Protein GENE0365",-0.2931,1,0.905137,0,0.0433,3,5,FALSE,FALSE,FALSE
"GENE0141","GENE0141_HUMAN","P75968","Protein GENE0141",-0.1984,0.712855,0.590739,0,0.2286,4,3,FALSE,FALSE,FALSE
"GENE2665","GENE2665_HUMAN","P09406","Protein GENE2665",0.9341,0.544342,0.16397,0.6728,0.7852,6,6,FALSE,FALSE,FALSE
"GENE0433","GENE0433_HUMAN","P75612","Protein GENE0433",-1.7539,0.152558,0.045036,0.6696,1.3464,6,3,FALSE,FALSE,TRUE
"GENE2652","GENE2652_HUMAN","P34857","Protein GENE2652",-0.3476,1,0.825249,0,0.0834,5,3,FALSE,FALSE,FALSE
"GENE1794","GENE1794_HUMAN","P44449","Protein GENE1794",-0.1714,1,0.710336,0,0.1485,6,4,FALSE,FALSE,FALSE
"GENE1357","GENE1357_HUMAN","P48178","Protein GENE1357",-0.1498,1,0.92568,0,0.0335,3,2,FALSE,FALSE,FALSE
"GENE2703","GENE2703_HUMAN","P11295","Protein GENE2703",1.0879,0.901807,0.782881,0,0.1063,6,2,FALSE,FALSE,FALSE
"GENE0113","GENE0113_HUMAN","P07515","Protein GENE0113",-0.0689,1,0.845015,0,0.0731,2,4,FALSE,TRUE,FALSE
"GENE2695","GENE2695_HUMAN","P13015","Protein GENE2695",-0.4201,0.5934,0.142698,0.1706,0.8456,3,4,FALSE,FALSE,FALSE
"GENE0018","GENE0018_HUMAN","P70179","Protein GENE0018",-0.7034,0.256711,0.250941,0,0.6004,5,2,FALSE,TRUE,FALSE
"GENE0388","GENE0388_HUMAN","P85970","Protein GENE0388",0.3021,0.903614,0.194676,0.5866,0.7107,5,5,FALSE,FALSE,FALSE
"PPP6R1","PPP6R1_HUMAN","P05695","Protein PPP6R1",-0.4114,1,0.479281,0,0.3194,4,3,FALSE,FALSE,FALSE
"GENE1485","GENE1485_HUMAN","P19311","Protein GENE1485",0.3895,1,0.704044,0,0.1524,4,6,FALSE,FALSE,FALSE
"GENE1950","GENE1950_HUMAN","P04383","Protein GENE1950",0.4724,1,0.529647,0,0.276,6,3,FALSE,FALSE,FALSE
"GENE2887","GENE2887_HUMAN","P90776","Protein GENE2887",-0.6943,1,0.761844,0,0.1181,2,3,FALSE,FALSE,FALSE
"GENE2856","GENE2856_HUMAN","P39235","Protein GENE2856",-0.325,1,0.742324,0,0.1294,4,2,FALSE,FALSE,FALSE
"GENE0814","GENE0814_HUMAN","P31857","Protein GENE0814",-0.4223,1,0.288763,0.0588,0.5395,5,3,FALSE,FALSE,FALSE
"GENE2449","GENE2449_HUMAN","P35517","Protein GENE2449",0.217,0.272754,0.26359,0.4891,0.5791,3,4,FALSE,FALSE,FALSE
"GENE2357","GENE2357_HUMAN","P23167","Protein GENE2357",-0.1058,1,0.741748,0,0.1297,4,3,FALSE,FALSE,FALSE
"GENE0701","GENE0701_HUMAN","P43792","Protein GENE0701",0.185,1,0.625824,0.0311,0.2035,2,6,FALSE,FALSE,FALSE
"GENE2135","GENE2135_HUMAN","P14759","Protein GENE2135",-0.3596,1,0.560855,0,0.2511,4,4,FALSE,FALSE,FALSE
"GENE0335","GENE0335_HUMAN","P25887","Protein GENE0335",-0.5409,1,0.887983,0,0.0516,6,6,FALSE,FALSE,FALSE
"GENE0131","GENE0131_HUMAN","P88339","Protein GENE0131",-0.2318,1,0.915179,0,0.0385,5,6,FALSE,FALSE,FALSE
"GENE1607","GENE1607_HUMAN","P02530","Protein GENE1607",0.2459,0.689019,0.368164,0.283,0.434,3,4,TRUE,FALSE,FALSE
"GENE1595","GENE1595_HUMAN","P12551","Protein GENE1595",-0.6915,1,0.959861,0,0.0178,6,5,FALSE,TRUE,FALSE
"GENE2535","GENE2535_HUMAN","P74609","Protein GENE2535",-0.3624,1,0.348919,0,0.4573,3,4,FALSE,FALSE,FALSE
"GENE0031","GENE0031_HUMAN","P69740","Protein GENE0031",-0.1137,1,0.96509,0,0.0154,3,2,FALSE,FALSE,FALSE
"GENE1238","GENE1238_HUMAN","P66880","Protein GENE1238",0.2192,0.497627,0.387754,0,0.4114,4,2,FALSE,FALSE,FALSE
"GENE1017","GENE1017_HUMAN","P41820","Protein GENE1017",-0.217,0.961432,0.366203,0,0.4363,3,5,FALSE,FALSE,FALSE
"GENE0204","GENE0204_HUMAN","P91258","Protein GENE0204",-0.4574,1,0.430014,0,0.3665,6,6,FALSE,FALSE,FALSE
"GENE1125","GENE1125_HUMAN","P43998","Protein GENE1125",2.181,0.166108,0.046426,0.8263,1.3332,4,5,FALSE,FALSE,TRUE
"GENE1778","GENE1778_HUMAN","P47216","Protein GENE1778",-0.3225,0.2812,0.208736,0.1407,0.6804,3,5,FALSE,FALSE,FALSE
"GENE0883","GENE0883_HUMAN","P64332","Protein GENE0883",3.6271,0.088368,0.028835,0.8515,1.5401,5,2,FALSE,FALSE,TRUE
"GENE2393","GENE2393_HUMAN","P38519","Protein GENE2393",-0.561,0.777266,0.165346,0.1219,0.7816,2,5,FALSE,FALSE,FALSE
"GENE2099","GENE2099_HUMAN","P49642","Protein GENE2099",-0.2998,1,0.600736,0,0.2213,5,6,FALSE,FALSE,FALSE
"GENE1559","GENE1559_HUMAN","P27880","Protein GENE1559",0.8447,1,0.621716,0,0.2064,6,6,FALSE,TRUE,FALSE
"GENE2482","GENE2482_HUMAN","P90705","Protein GENE2482",-0.5405,1,0.440896,0,0.3557,3,3,FALSE,FALSE,FALSE
"WNK1","WNK1_HUMAN","P84745","Protein WNK1",1.4264,0.085397,0.020008,1.371,1.6988,3,2,FALSE,FALSE,TRUE
"GENE0251","GENE0251_HUMAN","P21296","Protein GENE0251",0.0226,1,0.644351,0,0.1909,4,5,FALSE,FALSE,FALSE
"GENE1383","GENE1383_HUMAN","P40707","Protein GENE1383",0.3894,1,0.71761,0,0.1441,3,5,FALSE,FALSE,FALSE
"GENE0041","GENE0041_HUMAN","P62378","Protein GENE0041",-0.4333,1,0.82313,0,0.0845,5,2,FALSE,FALSE,FALSE
"GENE0552","GENE0552_HUMAN","P34360","Protein GENE0552",3.9436,0.012906,0.008402,1.4621,2.0756,5,4,FALSE,FALSE,TRUE
"GENE1098","GENE1098_HUMAN","P13249","Protein GENE1098",-0.3368,1,0.570303,0,0.2439,5,4,FALSE,FALSE,FALSE
"GENE2882","GENE2882_HUMAN","P45177","Protein GENE2882",0.1881,0.830936,0.821288,0,0.0855,4,3,FALSE,FALSE,FALSE
"GENE1146","GENE1146_HUMAN","P01654","Protein GENE1146",0.2071,1,0.418549,0,0.3783,6,4,FALSE,FALSE,FALSE
"GENE0432","GENE0432_HUMAN","P42931","Protein GENE0432",-0.2125,0.363459,0.166176,0.5484,0.7794,5,5,FALSE,FALSE,FALSE
"GENE2475","GENE2475_HUMAN","P45005","Protein GENE2475",-0.1346,0.755527,0.474034,0.2446,0.3242,2,6,TRUE,FALSE,FALSE
"GENE0167","GENE0167_HUMAN","P10869","Protein GENE0167",2.9608,0.033154,0.010109,1.7155,1.9953,4,6,FALSE,FALSE,TRUE
"GENE1647","GENE1647_HUMAN","P44385","Protein GENE1647",1.1207,0.044168,0.010604,1.5512,1.9745,2,3,FALSE,FALSE,TRUE
"GENE0206","GENE0206_HUMAN","P49910","Protein GENE0206",0.3404,0.341517,0.147236,0.3064,0.832,3,6,FALSE,TRUE,FALSE
"GENE2088","GENE2088_HUMAN","P80418","Protein GENE2088",0.3377,1,0.708402,0,0.1497,5,5,FALSE,FALSE,FALSE
"GENE2109","GENE2109_HUMAN","P74253","Protein GENE2109",0.0825,0.520707,0.368314,0,0.4338,2,6,FALSE,FALSE,FALSE
"GENE2269","GENE2269_HUMAN","P95430","Protein GENE2269",-0.1659,1,0.65661,0,0.1827,4,5,FALSE,FALSE,FALSE
"GENE1457","GENE1457_HUMAN","P37577","Protein GENE1457",-0.4777,1,0.344113,0.4245,0.4633,6,2,FALSE,FALSE,FALSE
"GENE1685","GENE1685_HUMAN","P43880","Protein GENE1685",0.0245,1,0.485405,0,0.3139,4,3,TRUE,FALSE,FALSE
"GENE1341","GENE1341_HUMAN","P90156","Protein GENE1341",0.0329,0.981652,0.407777,0,0.3896,5,2,FALSE,FALSE,FALSE
"GENE0499","GENE0499_HUMAN","P44154","Protein GENE0499",0.2723,0.18071,0.170045,0.6329,0.7694,5,6,FALSE,FALSE,FALSE
"GENE2238","GENE2238_HUMAN","P14550","Protein GENE2238",-0.4261,0.859139,0.173173,0.3006,0.7615,5,6,FALSE,FALSE,FALSE
"GENE2816","GENE2816_HUMAN","P22124","Protein GENE2816",0.269,0.739335,0.360268,0,0.4434,3,4,FALSE,FALSE,FALSE
"GENE2257","GENE2257_HUMAN","P73303","Protein GENE2257",-0.0312,1,0.443076,0.2321,0.3535,5,5,FALSE,FALSE,FALSE
"GENE0890","GENE0890_HUMAN","P60049","Protein GENE0890",0.2563,1,0.364206,0,0.4387,5,5,FALSE,FALSE,FALSE
"GENE1331","GENE1331_HUMAN","P22033","Protein GENE1331",0.4477,1,0.746957,0,0.1267,5,2,FALSE,FALSE,FALSE
"GENE2631","GENE2631_HUMAN","P58267","Protein GENE2631",0.5924,0.011029,0.00365,2.3254,2.4377,5,5,FALSE,FALSE,TRUE
"GENE1358","GENE1358_HUMAN","P27725","Protein GENE1358",0.8659,1,0.829592,0,0.0811,4,5,FALSE,FALSE,FALSE
"GENE1443","GENE1443_HUMAN","P82532","Protein GENE1443",-0.0081,1,0.851961,0,0.0696,4,3,FALSE,FALSE,FALSE
"GENE0189","GENE0189_HUMAN","P85001","Protein GENE0189",0.5333,1,0.609315,0.1539,0.2152,4,2,FALSE,FALSE,FALSE
"GENE0685","GENE0685_HUMAN","P27443","Protein GENE0685",-0.3743,0.358016,0.288939,0.5196,0.5392,5,3,FALSE,FALSE,FALSE
"GENE1029","GENE1029_HUMAN","P40649","Protein GENE1029",-0.2595,0.225324,0.130739,0.3937,0.8836,5,6,FALSE,FALSE,FALSE
"GENE2898","GENE2898_HUMAN","P29954","Protein GENE2898",-0.3496,1,0.365187,0.398,0.4375,5,5,FALSE,FALSE,FALSE
"GENE1371","GENE1371_HUMAN","P89501","Protein GENE1371",-0.3114,1,0.278637,0,0.555,5,2,FALSE,FALSE,FALSE
"GENE0498","GENE0498_HUMAN","P56003","Protein GENE0498",0.0741,1,0.95445,0,0.0202,6,6,FALSE,FALSE,FALSE
"GENE2141","GENE2141_HUMAN","P48724","Protein GENE2141",0.8468,1,0.62695,0,0.2028,5,5,FALSE,TRUE,FALSE
"GENE2561","GENE2561_HUMAN","P15026","Protein GENE2561",0.6476,0.221898,0.176334,0.0757,0.7537,5,6,FALSE,FALSE,FALSE
"GENE2661","GENE2661_HUMAN","P06866","Protein GENE2661",-0.2533,0.293148,0.130399,0.4137,0.8847,6,5,FALSE,FALSE,FALSE
"GENE1711","GENE1711_HUMAN","P19006","Protein GENE1711",0.2173,0.985805,0.570001,0,0.2441,3,2,FALSE,FALSE,FALSE
"GENE2863","GENE2863_HUMAN","P81903","Protein GENE2863",0.0699,1,0.812107,0,0.0904,4,3,FALSE,FALSE,FALSE
"GENE0515","GENE0515_HUMAN","P84591","Protein GENE0515",0.1906,1,0.682915,0,0.1656,2,4,FALSE,FALSE,FALSE
"GENE1096","GENE1096_HUMAN","P56617","Protein GENE1096",0.0764,1,0.867386,0,0.0618,3,6,FALSE,FALSE,FALSE
"GENE0430","GENE0430_HUMAN","P43133","Protein GENE0430",-0.3538,0.722431,0.390768,0,0.4081,4,4,FALSE,FALSE,FALSE
"GENE0230","GENE0230_HUMAN","P40793","Protein GENE0230",0.0642,1,0.950425,0,0.0221,6,2,FALSE,FALSE,FALSE
"GENE1393","GENE1393_HUMAN","P90192","Protein GENE1393",0.4862,1,0.998334,0,7e-04,6,3,FALSE,FALSE,FALSE
"GENE0295","GENE0295_HUMAN","P17242","Protein GENE0295",0.2789,0.919067,0.248023,0.0705,0.6055,4,3,TRUE,FALSE,FALSE
"GENE1749","GENE1749_HUMAN","P65359","Protein GENE1749",-0.1681,1,0.330991,0.1155,0.4802,5,4,FALSE,FALSE,FALSE
"GENE0481","GENE0481_HUMAN","P13941","Protein GENE0481",0.3909,1,0.702898,0,0.1531,5,3,FALSE,FALSE,FALSE
"GENE0403","GENE0403_HUMAN","P58074","Protein GENE0403",-0.2068,1,0.593965,0,0.2262,6,6,FALSE,FALSE,FALSE
"GENE1590","GENE1590_HUMAN","P81983","Protein GENE1590",0.3888,0.897189,0.259366,0.0249,0.5861,5,2,FALSE,FALSE,FALSE
"GENE1428","GENE1428_HUMAN","P71459","Protein GENE1428",-0.2227,0.935711,0.329734,0.1497,0.4818,5,3,FALSE,FALSE,FALSE
"GENE2132","GENE2132_HUMAN","P77991","Protein GENE2132",-0.0569,0.364929,0.247523,0.3808,0.6064,5,6,TRUE,FALSE,FALSE
"GENE1321","GENE1321_HUMAN","P29239","Protein GENE1321",0.483,1,0.38484,0.0087,0.4147,6,5,FALSE,FALSE,FALSE
"GENE1905","GENE1905_HUMAN","P65428","Protein GENE1905",0.4242,1,0.856898,0,0.0671,4,5,FALSE,FALSE,FALSE
"GENE1940","GENE1940_HUMAN","P16573","Protein GENE1940",-0.556,0.665879,0.376045,0,0.4248,6,4,TRUE,FALSE,FALSE
"GENE1497","GENE1497_HUMAN","P04557","Protein GENE1497",-0.41,1,0.514585,0,0.2885,4,2,FALSE,FALSE,FALSE
"GENE0319","GENE0319_HUMAN","P88086","Protein GENE0319",0.1916,1,0.928278,0,0.0323,4,4,FALSE,FALSE,FALSE
