"Gene","Entry.Name","UniProt.ID","Description","logFC","P.Val","adj.P.Val","log.P.Val","log.adj.P.Val","n_data_points_BK516_Ctrl","n_data_points_BK516_Cflag","imputed_BK516_Cflag","imputed_BK516_Ctrl","is_significant"
"GENE0651","GENE0651_HUMAN","P09008","Protein GENE0651",0.3359,1,0.995736,0,0.0019,5,6,FALSE,TRUE,FALSE
"GENE0273","GENE0273_HUMAN","P36427","Protein GENE0273",-0.3864,1,0.728317,0,0.1377,5,4,FALSE,FALSE,FALSE
"GENE1711","GENE1711_HUMAN","P76774","Protein GENE1711",0.3799,1,0.397091,0.3297,0.4011,2,2,FALSE,FALSE,FALSE
"GENE1769","GENE1769_HUMAN","P34379","Protein GENE1769",-0.0966,0.267588,0.075909,0.6464,1.1197,2,2,TRUE,FALSE,FALSE
"GENE1858","GENE1858_HUMAN","P61034","Protein GENE1858",0.1832,0.660638,0.222894,0.1071,0.6519,5,4,FALSE,FALSE,FALSE
"GENE0857","GENE0857_HUMAN","P35746","Protein GENE0857",0.0485,1,0.563958,0,0.2488,2,3,FALSE,FALSE,FALSE
"GENE0532","GENE0532_HUMAN","P03979","Protein GENE0532",0.2118,0.116677,0.110269,0.4464,0.9575,4,6,FALSE,TRUE,FALSE
"GENE2644","GENE2644_HUMAN","P15792","Protein GENE2644",-0.2868,0.399414,0.328107,0,0.484,5,4,FALSE,FALSE,FALSE
"GENE2244","GENE2244_HUMAN","P23133","Protein GENE2244",0.4065,1,0.683561,0,0.1652,4,3,FALSE,FALSE,FALSE
"GENE1323","GENE1323_HUMAN","P39621","Protein GENE1323",-0.0398,1,0.752441,0,0.1235,5,6,FALSE,FALSE,FALSE
"GENE2848","GENE2848_HUMAN","P81292","Protein GENE2848",-0.2112,1,0.484438,0.0725,0.3148,6,6,FALSE,FALSE,FALSE
"GENE0947","GENE0947_HUMAN","P79258","Protein GENE0947",-0.3565,0.862475,0.398006,0,0.4001,5,3,FALSE,FALSE,FALSE
"GENE2875","GENE2875_HUMAN","P77080","Protein GENE2875",0.0219,0.507021,0.264491,0,0.5776,4,2,FALSE,FALSE,FALSE
"GENE1000","GENE1000_HUMAN","P46178","Protein GENE1000",-0.4815,0.339672,0.201324,0.4993,0.6961,3,2,FALSE,FALSE,FALSE
"GENE1830","GENE1830_HUMAN","P55050","Protein GENE1830",-0.4799,0.301378,0.126262,0.8211,0.8987,2,3,TRUE,FALSE,FALSE
"GENE2849","GENE2849_HUMAN","P11746","Protein GENE2849",0.4996,1,0.421883,0.1181,0.3748,3,5,FALSE,FALSE,FALSE
"GENE2458","GENE2458_HUMAN","P43603","Protein GENE2458",-0.528,1,0.899409,0,0.046,2,4,FALSE,FALSE,FALSE
"GENE0803","GENE0803_HUMAN","P42652","Protein GENE0803",-0.0642,1,0.594602,0.1239,0.2258,4,3,FALSE,FALSE,FALSE
"GENE1816","GENE1816_HUMAN","P76032","Protein GENE1816",-0.6643,0.689414,0.539589,0.2216,0.2679,2,6,FALSE,TRUE,FALSE
"GENE0786","GENE0786_HUMAN","P13650","Protein GENE0786",-0.1398,0.824326,0.475739,0.0583,0.3226,4,3,FALSE,FALSE,FALSE
"GENE0870","GENE0870_HUMAN","P37786","Protein GENE0870",0.2948,0.275522,0.262652,0,0.5806,3,6,FALSE,FALSE,FALSE
"GENE1142","GENE1142_HUMAN","P03560","Protein GENE1142",-1.222,0.004136,0.001889,2.671,2.7239,5,5,FALSE,TRUE,TRUE
"GENE1279","GENE1279_HUMAN","P94664","Protein GENE1279",0.0363,1,0.72376,0,0.1404,3,2,FALSE,FALSE,FALSE
"GENE2123","GENE2123_HUMAN","P11113","Protein GENE2123",-0.0495,0.239831,0.193232,0.2954,0.7139,3,2,FALSE,FALSE,FALSE
"GENE2258","GENE2258_HUMAN","P02397","Protein GENE2258",0.9734,1,0.447062,0,0.3496,4,4,FALSE,FALSE,FALSE
"GENE1102","GENE1102_HUMAN","P13628","Protein GENE1102",-0.2502,0.563121,0.135442,0.6764,0.8682,3,2,FALSE,FALSE,FALSE
"GENE0891","GENE0891_HUMAN","P50090","Protein GENE0891",-0.2175,0.76235,0.70671,0,0.1508,5,3,FALSE,FALSE,FALSE
"GENE0104","GENE0104_HUMAN","P24591","Protein GENE0104",0.3667,1,0.933018,0,0.0301,5,4,FALSE,FALSE,FALSE
"GENE2475","GENE2475_HUMAN","P35302","Protein GENE2475",0.1617,0.234704,0.09681,0.6149,1.0141,3,6,FALSE,FALSE,FALSE
"GENE0685","GENE0685_HUMAN","P18084","Protein GENE0685",-0.095,0.591895,0.12119,0.4296,0.9165,5,5,FALSE,TRUE,FALSE
"GENE0842","GENE0842_HUMAN","P33488","Protein GENE0842",0.378,1,0.54419,0,0.2642,5,2,FALSE,FALSE,FALSE
"GENE0111","GENE0111_HUMAN","P30970","Protein GENE0111",-0.2463,1,0.952044,0,0.0213,2,2,FALSE,FALSE,FALSE
"GENE0628","GENE0628_HUMAN","P32503","Protein GENE0628",0.6698,0.371891,0.130987,0.3095,0.8828,5,2,FALSE,FALSE,FALSE
"GENE1123","GENE1123_HUMAN","P83477","Protein GENE1123",-0.0166,1,0.787369,0,0.1038,2,5,FALSE,FALSE,FALSE
"GENE1168","GENE1168_HUMAN","P81304","Protein GENE1168",-0.6242,1,0.739091,0,0.1313,4,6,FALSE,FALSE,FALSE
"GENE0819","GENE0819_HUMAN","P98758","Protein GENE0819",-0.1368,0.32157,0.116647,0.3574,0.9331,2,2,TRUE,FALSE,FALSE
"GENE0236","GENE0236_HUMAN","P40439","Protein GENE0236",-0.151,1,0.811704,0,0.0906,2,3,TRUE,FALSE,FALSE
"GENE1046","GENE1046_HUMAN","P35306","Protein GENE1046",-0.6585,0.743418,0.356056,0,0.4485,2,3,FALSE,FALSE,FALSE
"GENE1962","GENE1962_HUMAN","P69149","Protein GENE1962",0.3776,1,0.70197,0,0.1537,2,3,FALSE,FALSE,FALSE
"GENE0740","GENE0740_HUMAN","P49696","Protein GENE0740",0.0101,1,0.879734,0,0.0556,4,3,FALSE,FALSE,FALSE
"GENE1163","GENE1163_HUMAN","P47497","Protein GENE1163",-0.6498,0.299577,0.076949,0.5981,1.1138,3,6,FALSE,FALSE,FALSE
"GENE1803","GENE1803_HUMAN","P16673","Protein GENE1803",-0.4432,1,0.263794,0,0.5787,5,2,TRUE,FALSE,FALSE
"GENE1226","GENE1226_HUMAN","P38344","Protein GENE1226",2.9315,0.095341,0.036134,1.1529,1.4421,3,4,FALSE,TRUE,TRUE
"GENE1232","GENE1232_HUMAN","P15579","Protein GENE1232",0.3106,1,0.27111,0,0.5669,3,2,FALSE,FALSE,FALSE
"GENE1367","GENE1367_HUMAN","P14469","Protein GENE1367",-0.6411,1,0.986423,0,0.0059,4,2,FALSE,FALSE,FALSE
"GENE2212","GENE2212_HUMAN","P76332","Protein GENE2212",0.2348,1,0.258719,0,0.5872,2,2,FALSE,FALSE,FALSE
"GENE2032","GENE2032_HUMAN","P87196","Protein GENE2032",-0.0505,1,0.246194,0.1417,0.6087,2,4,FALSE,FALSE,FALSE
"GENE2014","GENE2014_HUMAN","P75576","Protein GENE2014",0.2447,1,0.950258,0,0.0222,4,2,FALSE,FALSE,FALSE
"GENE0164","GENE0164_HUMAN","P09314","Protein GENE0164",0.5572,1,0.585907,0,0.2322,3,6,FALSE,TRUE,FALSE
"GENE0519","GENE0519_HUMAN","P62303","Protein GENE0519",-0.0285,1,0.331181,0.4284,0.4799,3,5,FALSE,FALSE,FALSE
"GENE1305","GENE1305_HUMAN","P02489","Protein GENE1305",-0.1527,1,0.582509,0.2285,0.2347,4,2,FALSE,FALSE,FALSE
"GENE2142","GENE2142_HUMAN","P19241","Protein GENE2142",-0.1709,0.64666,0.459357,0,0.3378,5,3,FALSE,FALSE,FALSE
"GENE0508","GENE0508_HUMAN","P12722","Protein GENE0508",0.2906,0.582682,0.268905,0.2921,0.5704,2,3,FALSE,FALSE,FALSE
"GPATCH2","GPATCH2_HUMAN","P63015","Protein GPATCH2",-0.0434,0.532695,0.116218,0.7578,0.9347,6,3,FALSE,FALSE,FALSE
"GENE2400","GENE2400_HUMAN","P59133","Protein GENE2400",0.0342,1,0.896078,0,0.0477,4,2,FALSE,FALSE,FALSE
"GENE0737","GENE0737_HUMAN","P22748","Protein GENE0737",-0.3155,1,0.450446,0.1866,0.3464,4,4,FALSE,FALSE,FALSE
"GENE0330","GENE0330_HUMAN","P94323","Protein GENE0330",0.7186,0.633159,0.187823,0.5565,0.7263,5,2,FALSE,FALSE,FALSE
"GENE1817","GENE1817_HUMAN","P81419","Protein GENE1817",-0.7192,1,0.500758,0.2289,0.3004,5,5,FALSE,FALSE,FALSE
"GENE2778","GENE2778_HUMAN","P41159","Protein GENE2778",0.8753,1,0.829088,0,0.0814,6,2,TRUE,FALSE,FALSE
"GENE1499","GENE1499_HUMAN","P58063","Protein GENE1499",0.1577,0.849659,0.301618,0,0.5205,6,5,FALSE,FALSE,FALSE
"GENE0698","GENE0698_HUMAN","P46874","Protein GENE0698",0.4933,0.411839,0.354121,0,0.4508,2,3,FALSE,FALSE,FALSE
"GENE0840","GENE0840_HUMAN","P35682","Protein GENE0840",-0.4633,1,0.350074,0.1056,0.4558,2,6,FALSE,FALSE,FALSE
"GENE0755","GENE0755_HUMAN","P48890","Protein GENE0755",0.0485,0.556212,0.164128,0.4423,0.7848,6,3,FALSE,FALSE,FALSE
"GENE2325","GENE2325_HUMAN","P93219","Protein GENE2325",-0.0556,0.858813,0.349022,0.377,0.4571,3,6,TRUE,FALSE,FALSE
"GENE0274","GENE0274_HUMAN","P13696","Protein GENE0274",0.5205,1,0.935138,0,0.0291,6,4,FALSE,FALSE,FALSE
"GENE0209","GENE0209_HUMAN","P95158","Protein GENE0209",0.1512,1,0.77966,0,0.1081,3,2,FALSE,FALSE,FALSE
"GENE2881","GENE2881_HUMAN","P54431","Protein GENE2881",-3.6083,0.012414,0.008707,1.4437,2.0601,6,5,FALSE,FALSE,TRUE
"GENE2669","GENE2669_HUMAN","P81075","Protein GENE2669",-0.0403,1,0.597532,0,0.2236,4,4,FALSE,FALSE,FALSE
"GENE1409","GENE1409_HUMAN","P90184","Protein GENE1409",0.2738,1,0.526507,0,0.2786,6,6,FALSE,FALSE,FALSE
"GENE2147","GENE2147_HUMAN","P62009","Protein GENE2147",-0.4848,0.697608,0.254762,0.0844,0.5939,3,6,FALSE,FALSE,FALSE
"NCOA7","NCOA7_HUMAN","P50610","Protein NCOA7",2.3787,0.10197,0.021169,1.5703,1.6743,4,5,TRUE,FALSE,TRUE
"GENE0151","GENE0151_HUMAN","P52394","Protein GENE0151",0.2128,1,0.957268,0,0.019,3,5,FALSE,FALSE,FALSE
"GENE1498","GENE1498_HUMAN","P25795","Protein GENE1498",0.1905,1,0.721814,0,0.1416,4,2,TRUE,FALSE,FALSE
"GENE1732","GENE1732_HUMAN","P84623","Protein GENE1732",-0.0012,0.25976,0.139308,0.2727,0.856,3,2,FALSE,FALSE,FALSE
"GENE1940","GENE1940_HUMAN","P22814","Protein GENE1940",-0.2722,1,0.560047,0.2126,0.2518,3,3,FALSE,TRUE,FALSE
"GENE0659","GENE0659_HUMAN","P42516","Protein GENE0659",0.6443,0.951568,0.748612,0,0.1257,2,3,FALSE,FALSE,FALSE
"GENE0422","GENE0422_HUMAN","P51072","Protein GENE0422",-0.5534,0.015859,0.010525,1.8063,1.9778,6,6,FALSE,FALSE,TRUE
"GENE0329","GENE0329_HUMAN","P48391","Protein GENE0329",-1.0944,1,0.246512,0.1213,0.6082,2,5,FALSE,FALSE,FALSE
"GENE1993","GENE1993_HUMAN","P28402","Protein GENE1993",-1.0557,0.210139,0.090578,0.479,1.043,2,4,FALSE,FALSE,FALSE
"GENE0229","GENE0229_HUMAN","P22782","Protein GENE0229",0.7166,1,0.926901,0,0.033,2,4,FALSE,FALSE,FALSE
"GENE1288","GENE1288_HUMAN","P16731","Protein GENE1288",0.0653,0.62996,0.205987,0.0424,0.6862,3,3,FALSE,FALSE,FALSE
"GENE2485","GENE2485_HUMAN","P83837","Protein GENE2485",-0.7045,1,0.941535,0,0.0262,5,6,FALSE,FALSE,FALSE
"GENE1434","GENE1434_HUMAN","P17909","Protein GENE1434",2.2409,0.209221,0.048253,0.8269,1.3165,5,3,TRUE,FALSE,TRUE
"GENE2271","GENE2271_HUMAN","P49069","Protein GENE2271",0.5016,1,0.698861,0,0.1556,5,2,FALSE,FALSE,FALSE
"GENE0088","GENE0088_HUMAN","P12135","Protein GENE0088",-0.2543,1,0.748101,0,0.126,5,4,FALSE,FALSE,FALSE
"GENE2277","GENE2277_HUMAN","P93040","Protein GENE2277",0.1314,1,0.379031,0.2104,0.4213,3,2,FALSE,FALSE,FALSE
"GENE1327","GENE1327_HUMAN","P11807","Protein GENE1327",0.0915,1,0.362655,0.2251,0.4405,6,6,FALSE,FALSE,FALSE
"GENE1090","GENE1090_HUMAN","P57302","Protein GENE1090",-0.5351,1,0.822346,0,0.0849,5,5,FALSE,FALSE,FALSE
"GENE1777","GENE1777_HUMAN","P93673","Protein GENE1777",-0.4765,1,0.760399,0,0.119,2,2,FALSE,TRUE,FALSE
"GENE2236","GENE2236_HUMAN","P11476","Protein GENE2236",-0.6415,0.507483,0.171994,0.33,0.7645,5,4,FALSE,FALSE,FALSE
"GENE1188","GENE1188_HUMAN","P10258","Protein GENE1188",-0.7376,0.449317,0.096735,0.4814,1.0144,4,5,FALSE,FALSE,FALSE
"GENE2004","GENE2004_HUMAN","P07124","Protein GENE2004",-0.151,1,0.920618,0,0.0359,4,5,FALSE,FALSE,FALSE
"GENE1772","GENE1772_HUMAN","P77115","Protein GENE1772",3.8982,0.113524,0.026906,1.4276,1.5701,4,3,FALSE,FALSE,TRUE
"GENE2863","GENE2863_HUMAN","P82166","Protein GENE2863",0.1463,1,0.507674,0,0.2944,4,2,FALSE,FALSE,FALSE
"GENE1282","GENE1282_HUMAN","P00332","Protein GENE1282",0.2173,0.674882,0.153964,0.1324,0.8126,2,5,FALSE,FALSE,FALSE
"GENE0965","GENE0965_HUMAN","P99675","Protein GENE0965",-0.1157,0.269484,0.119245,0.3431,0.9236,2,6,FALSE,FALSE,FALSE
"GENE0200","GENE0200_HUMAN","P23079","Protein GENE0200",-3.6852,0.023708,0.011041,1.4484,1.957,3,2,FALSE,FALSE,TRUE
"GENE1939","GENE1939_HUMAN","P63597","Protein GENE1939",0.1883,1,0.833728,0,0.079,6,5,FALSE,FALSE,FALSE
"GENE2506","GENE2506_HUMAN","P82514","Protein GENE2506",-0.308,0.875129,0.595144,0,0.2254,4,6,FALSE,FALSE,FALSE
"GENE2111","GENE2111_HUMAN","P54786","Protein GENE2111",0.1834,1,0.953833,0,0.0205,3,2,FALSE,FALSE,FALSE
"GENE1058","GENE1058_HUMAN","P82826","Protein GENE1058",-0.1492,1,0.975352,0,0.0108,2,3,FALSE,FALSE,FALSE
"GENE2433","GENE2433_HUMAN","P93202","Protein GENE2433",-0.0867,1,0.97299,0,0.0119,6,5,FALSE,FALSE,FALSE
"GENE1559","GENE1559_HUMAN","P15656","Protein GENE1559",-0.1935,1,0.552392,0,0.2578,6,6,FALSE,FALSE,FALSE
"GENE1717","GENE1717_HUMAN","P77573","Protein GENE1717",-1.5376,0.016142,0.011392,1.6843,1.9434,6,3,FALSE,FALSE,TRUE
"GENE0041","GENE0041_HUMAN","P45250","Protein GENE0041",-0.2778,1,0.963154,0,0.0163,6,6,FALSE,FALSE,FALSE
"GENE2033","GENE2033_HUMAN","P40258","Protein GENE2033",0.6521,1,0.793587,0.0398,0.1004,6,3,TRUE,FALSE,FALSE
"GENE2883","GENE2883_HUMAN","P79851","Protein GENE2883",-0.1016,1,0.229758,0,0.6387,4,6,FALSE,FALSE,FALSE
"GENE1698","GENE1698_HUMAN","P22870","Protein GENE1698",0.0431,1,0.684369,0,0.1647,6,4,FALSE,FALSE,FALSE
"GENE0609","GENE0609_HUMAN","P58257","Protein GENE0609",0.2415,0.505242,0.142581,0.2508,0.8459,2,4,FALSE,FALSE,FALSE
"GENE0878","GENE0878_HUMAN","P30944","Protein GENE0878",-0.1275,1,0.453787,0,0.3431,5,6,FALSE,TRUE,FALSE
"GENE0691","GENE0691_HUMAN","P55750","Protein GENE0691",-3.6322,0.041586,0.019188,1.5931,1.717,6,6,FALSE,FALSE,TRUE
"GENE2316","GENE2316_HUMAN","P66279","Protein GENE2316",0.1733,0.692431,0.303807,0.0241,0.5174,6,4,FALSE,FALSE,FALSE
"GENE2017","GENE2017_HUMAN","P96313","Protein GENE2017",0.0859,0.96534,0.744465,0,0.1282,5,5,FALSE,FALSE,FALSE
"GENE0654","GENE0654_HUMAN","P52543","Protein GENE0654",0.335,1,0.837743,0,0.0769,5,3,FALSE,FALSE,FALSE
"GENE0938","GENE0938_HUMAN","P37843","Protein GENE0938",0.3459,1,0.588746,0,0.2301,5,2,FALSE,FALSE,FALSE
"GENE0579","GENE0579_HUMAN","P47735","Protein GENE0579",-0.5291,0.140175,0.083181,0.8134,1.08,3,3,FALSE,FALSE,FALSE
"GENE2148","GENE2148_HUMAN","P77991","Protein GENE2148",-0.1495,1,0.574626,0,0.2406,6,2,FALSE,FALSE,FALSE
"GENE2257","GENE2257_HUMAN","P81429","Protein GENE2257",3.7811,0.135138,0.037567,1.2411,1.4252,3,5,FALSE,FALSE,TRUE
"GENE0925","GENE0925_HUMAN","P09642","Protein GENE0925",4.026,0.054837,0.028673,0.8546,1.5425,4,5,FALSE,FALSE,TRUE
"GENE1403","GENE1403_HUMAN","P28374","Protein GENE1403",0.5588,1,0.854166,0,0.0685,6,6,FALSE,FALSE,FALSE
"GENE1485","GENE1485_HUMAN","P52694","Protein GENE1485",0.3554,0.326892,0.165245,0.1749,0.7819,3,6,FALSE,FALSE,FALSE
"GENE2790","GENE2790_HUMAN","P58937","Protein GENE2790",0.1294,1,0.734141,0,0.1342,5,6,FALSE,FALSE,FALSE
"GENE2317","GENE2317_HUMAN","P31844","Protein GENE2317",0.0835,1,0.528332,0,0.2771,4,6,FALSE,FALSE,FALSE
"GENE0147","GENE0147_HUMAN","P92960","Protein GENE0147",3.7601,0.013715,0.009512,1.8693,2.0217,2,4,FALSE,FALSE,TRUE
"GENE1276","GENE1276_HUMAN","P78506","Protein GENE1276",0.1845,1,0.343492,0.2633,0.4641,4,3,FALSE,FALSE,FALSE
"GENE0545","GENE0545_HUMAN","P17246","Protein GENE0545",0.1631,1,0.567289,0,0.2462,6,3,FALSE,FALSE,FALSE
"GENE1319","GENE1319_HUMAN","P20081","Protein GENE1319",-0.1923,0.413061,0.362327,0.0491,0.4409,4,2,FALSE,FALSE,FALSE
"GENE0977","GENE0977_HUMAN","P87088","Protein GENE0977",0.25,1,0.378115,0.2741,0.4224,6,2,FALSE,FALSE,FALSE
"GENE0130","GENE0130_HUMAN","P36178","Protein GENE0130",0.5833,1,0.792019,0,0.1013,4,6,FALSE,FALSE,FALSE
"GENE0839","GENE0839_HUMAN","P59545","Protein GENE0839",0.095,0.956073,0.53021,0,0.2756,4,5,TRUE,FALSE,FALSE
"LARP5","LARP5_HUMAN","P30543","Protein LARP5",0.0689,0.795866,0.692747,0,0.1594,6,2,FALSE,FALSE,FALSE
"GENE0832","GENE0832_HUMAN","P05944","Protein GENE0832",-0.1811,1,0.257993,0.236,0.5884,4,5,TRUE,TRUE,FALSE
"DHX38","DHX38_HUMAN","P35748","Protein DHX38",-0.6085,1,0.517947,0.1918,0.2857,2,2,FALSE,FALSE,FALSE
"GENE1925","GENE1925_HUMAN","P04606","Protein GENE1925",-0.6177,1,0.884157,0,0.0535,6,6,FALSE,FALSE,FALSE
"GENE0337","GENE0337_HUMAN","P00846","Protein GENE0337",-1.0753,0.031445,0.027727,1.1319,1.5571,2,3,FALSE,FALSE,TRUE
"GENE1895","GENE1895_HUMAN","P87322","Protein GENE1895",0.2432,0.261821,0.095708,0.5963,1.0191,5,6,FALSE,FALSE,FALSE
"GENE2890","GENE2890_HUMAN","P15262","Protein GENE2890",-0.2224,0.901611,0.57833,0,0.2378,6,3,FALSE,FALSE,FALSE
"GENE1111","GENE1111_HUMAN","P40976","Protein GENE1111",0.3617,1,0.740196,0,0.1307,6,4,FALSE,FALSE,FALSE
"GENE2330","GENE2330_HUMAN","P67706","Protein GENE2330",-0.2145,0.31937,0.258476,0,0.5876,5,5,FALSE,FALSE,FALSE
"GENE2359","GENE2359_HUMAN","P89730","Protein GENE2359",0.2897,1,0.571759,0.027,0.2428,2,5,FALSE,TRUE,FALSE
"GENE0233","GENE0233_HUMAN","P26155","Protein GENE0233",-0.4655,1,0.657917,0,0.1818,2,6,FALSE,FALSE,FALSE
"GENE2314","GENE2314_HUMAN","P82357","Protein GENE2314",0.215,1,0.466311,0.0123,0.3313,2,4,FALSE,FALSE,FALSE
"GENE1780","GENE1780_HUMAN","P84035","Protein GENE1780",0.6306,0.232372,0.074385,0.4955,1.1285,5,2,FALSE,FALSE,FALSE
"GENE1392","GENE1392_HUMAN","P40567","Protein GENE1392",0.1265,1,0.866186,0,0.0624,6,3,TRUE,FALSE,FALSE
"GENE1380","GENE1380_HUMAN","P94338","Protein GENE1380",-0.1784,1,0.869311,0,0.0608,3,3,FALSE,FALSE,FALSE
"GENE2001","GENE2001_HUMAN","P07110","Protein GENE2001",0.25,0.399534,0.26167,0.2158,0.5822,5,6,FALSE,FALSE,FALSE
"GENE1664","GENE1664_HUMAN","P15072","Protein GENE1664",1.1898,0.803322,0.201079,0.2521,0.6966,6,5,FALSE,FALSE,FALSE
"GENE0536","GENE0536_HUMAN","P03376","Protein GENE0536",0.0297,0.701542,0.250489,0.4186,0.6012,2,5,FALSE,FALSE,FALSE
"GENE0764","GENE0764_HUMAN","P15433","Protein GENE0764",-0.0735,1,0.754655,0,0.1223,2,3,FALSE,FALSE,FALSE
"GENE1809","GENE1809_HUMAN","P88162","Protein GENE1809",0.5661,1,0.984432,0,0.0068,5,5,FALSE,TRUE,FALSE
"GENE1792","GENE1792_HUMAN","P61003","Protein GENE1792",-0.743,1,0.547283,0,0.2618,6,2,FALSE,FALSE,FALSE
"GENE0708","GENE0708_HUMAN","P97806","Protein GENE0708",-0.5545,1,0.854177,0,0.0685,6,4,FALSE,TRUE,FALSE
"GENE1900","GENE1900_HUMAN","P44167","Protein GENE1900",-0.3136,1,0.927906,0,0.0325,5,6,FALSE,FALSE,FALSE
"GENE2791","GENE2791_HUMAN","P25529","Protein GENE2791",0.2826,1,0.566654,0,0.2467,3,5,FALSE,TRUE,FALSE
