"Gene","Entry.Name","UniProt.ID","Description","logFC","P.Val","adj.P.Val","log.P.Val","log.adj.P.Val","n_data_points_BK516_Ctrl","n_data_points_BK516_Cflag","imputed_BK516_Cflag","imputed_BK516_Ctrl","is_significant"
"GENE2196","GENE2196_HUMAN","P88746","Protein GENE2196",0.2704,1,0.552741,0,0.2575,2,4,FALSE,FALSE,FALSE
"GENE1173","GENE1173_HUMAN","P75061","Protein GENE1173",-0.3805,0.693442,0.316738,0,0.4993,6,6,FALSE,FALSE,FALSE
"GENE0213","GENE0213_HUMAN","P02971","Protein GENE0213",1.1137,0.12577,0.035261,1.4189,1.4527,3,6,FALSE,FALSE,TRUE
"GENE0438","GENE0438_HUMAN","P30215","Protein GENE0438",3.0762,0.00731,0.001948,2.2094,2.7105,2,3,FALSE,FALSE,TRUE
"GENE1160","GENE1160_HUMAN","P91487","Protein GENE1160",-0.4378,0.573142,0.447723,0.143,0.349,5,2,FALSE,FALSE,FALSE
"GENE2262","GENE2262_HUMAN","P84612","Protein GENE2262",3.5981,0.129497,0.037884,1.0691,1.4215,3,3,FALSE,FALSE,TRUE
"GENE2755","GENE2755_HUMAN","P45293","Protein GENE2755",1.6989,0.16897,0.03558,1.2527,1.4488,6,4,FALSE,FALSE,TRUE
"GENE0362","GENE0362_HUMAN","P27003","Protein GENE0362",-0.1426,1,0.56471,0,0.2482,4,2,FALSE,TRUE,FALSE
"GENE2162","GENE2162_HUMAN","P30485","Protein GENE2162",0.6575,0.257565,0.174645,0.0621,0.7578,2,6,FALSE,FALSE,FALSE
"GENE0430","GENE0430_HUMAN","P44078","Protein GENE0430",-0.4031,1,0.542533,0.2086,0.2656,4,3,FALSE,FALSE,FALSE
"GENE0842","GENE0842_HUMAN","P98701","Protein GENE0842",0.9453,0.241398,0.138539,0.5493,0.8584,3,4,TRUE,FALSE,FALSE
"GENE2069","GENE2069_HUMAN","P83754","Protein GENE2069",2.8521,0.023845,0.006568,1.7436,2.1826,5,4,FALSE,FALSE,TRUE
"GENE2868","GENE2868_HUMAN","P82850","Protein GENE2868",0.7037,1,0.761305,0,0.1184,5,3,FALSE,FALSE,FALSE
"GENE0717","GENE0717_HUMAN","P40560","Protein GENE0717",1.7872,0.103768,0.02552,0.9314,1.5931,3,2,FALSE,TRUE,TRUE
"GENE0886","GENE0886_HUMAN","P95159","Protein GENE0886",0.0553,0.872047,0.63609,0,0.1965,6,5,FALSE,FALSE,FALSE
"GENE1367","GENE1367_HUMAN","P75175","Protein GENE1367",0.8933,1,0.391005,0,0.4078,6,6,FALSE,FALSE,FALSE
"GENE0623","GENE0623_HUMAN","P68613","Protein GENE0623",0.3164,1,0.689201,0,0.1617,6,4,FALSE,FALSE,FALSE
"GENE2433","GENE2433_HUMAN","P73899","Protein GENE2433",-0.191,1,0.854807,0,0.0681,4,5,FALSE,FALSE,FALSE
"GENE1368","GENE1368_HUMAN","P27337","Protein GENE1368",-0.4995,1,0.632149,0,0.1992,5,3,FALSE,FALSE,FALSE
"GENE2547","GENE2547_HUMAN","P79746","Protein GENE2547",-0.9081,0.29849,0.297322,0.1884,0.5268,4,2,TRUE,FALSE,FALSE
"GENE2384","GENE2384_HUMAN","P23280","Protein GENE2384",2.651,0.160163,0.036846,0.7508,1.4336,6,3,FALSE,FALSE,TRUE
"GENE0781","GENE0781_HUMAN","P93648","Protein GENE0781",-0.5735,1,0.959851,0,0.0178,6,4,FALSE,FALSE,FALSE
"GENE2871","GENE2871_HUMAN","P50886","Protein GENE2871",0.2596,0.427899,0.207004,0.2448,0.684,3,3,FALSE,FALSE,FALSE
"GENE0271","GENE0271_HUMAN","P35243","Protein GENE0271",0.0583,0.74505,0.281756,0.0154,0.5501,3,2,FALSE,FALSE,FALSE
"GENE1199","GENE1199_HUMAN","P35811","Protein GENE1199",0.1969,1,0.880749,0,0.0551,5,2,FALSE,FALSE,FALSE
"GENE1849","GENE1849_HUMAN","P55571","Protein GENE1849",0.5809,0.432747,0.09682,0.9058,1.014,6,4,FALSE,TRUE,FALSE
"GENE2806","GENE2806_HUMAN","P53058","Protein GENE2806",-0.4331,0.401679,0.287491,0,0.5414,3,3,FALSE,FALSE,FALSE
"GENE2518","GENE2518_HUMAN","P20052","Protein GENE2518",-0.3573,1,0.509849,0,0.2926,6,4,TRUE,FALSE,FALSE
"GENE0951","GENE0951_HUMAN","P28543","Protein GENE0951",0.1934,0.500683,0.148732,0.714,0.8276,5,5,FALSE,FALSE,FALSE
"GENE1569","GENE1569_HUMAN","P57395","Protein GENE1569",-0.4581,0.678856,0.255348,0.3757,0.5929,5,2,FALSE,FALSE,FALSE
"GENE2867","GENE2867_HUMAN","P66958","Protein GENE2867",-1.0239,1,0.938702,0,0.0275,3,6,TRUE,FALSE,FALSE
"GENE0245","GENE0245_HUMAN","P00251","Protein GENE0245",0.8301,1,0.745334,0,0.1276,5,6,FALSE,FALSE,FALSE
"GENE1322","GENE1322_HUMAN","P03327","Protein GENE1322",-0.2766,0.770333,0.727361,0,0.1382,2,6,FALSE,FALSE,FALSE
"GENE0116","GENE0116_HUMAN","P30594","Protein GENE0116",-0.0209,1,0.726485,0,0.1388,5,4,FALSE,FALSE,FALSE
"GENE1793","GENE1793_HUMAN","P64872","Protein GENE1793",0.2838,1,0.976492,0,0.0103,6,6,FALSE,FALSE,FALSE
"GENE0729","GENE0729_HUMAN","P31954","Protein GENE0729",-0.581,0.893987,0.788626,0,0.1031,6,6,FALSE,FALSE,FALSE
"GENE1783","GENE1783_HUMAN","P91966","Protein GENE1783",0.0663,1,0.320214,0,0.4946,3,2,FALSE,FALSE,FALSE
"GENE0008","GENE0008_HUMAN","P14333","Protein GENE0008",-0.1264,1,0.519593,0,0.2843,2,5,TRUE,FALSE,FALSE
"GENE1747","GENE1747_HUMAN","P73921","Protein GENE1747",-0.9262,1,0.60314,0,0.2196,4,2,FALSE,FALSE,FALSE
"GENE1413","GENE1413_HUMAN","P61883","Protein GENE1413",-0.1545,0.779664,0.65488,0,0.1838,4,3,FALSE,TRUE,FALSE
"GENE1946","GENE1946_HUMAN","P03700","Protein GENE1946",0.1871,0.897101,0.271137,0.1571,0.5668,2,6,FALSE,TRUE,FALSE
"GENE0147","GENE0147_HUMAN","P72865","Protein GENE0147",-0.0075,1,0.798974,0,0.0975,3,3,FALSE,FALSE,FALSE
"GENE0503","GENE0503_HUMAN","P01750","Protein GENE0503",3.3287,0.028461,0.012163,1.8985,1.9149,6,4,FALSE,FALSE,TRUE
"GENE1627","GENE1627_HUMAN","P90756","Protein GENE1627",4.2603,0.074542,0.048137,0.8283,1.3175,2,6,FALSE,FALSE,TRUE
"GENE1345","GENE1345_HUMAN","P61228","Protein GENE1345",1.0496,0.957444,0.323117,0.0467,0.4906,5,3,FALSE,FALSE,FALSE
"GENE2619","GENE2619_HUMAN","P14207","Protein GENE2619",-0.155,1,0.979624,0,0.0089,4,2,TRUE,FALSE,FALSE
"GENE2440","GENE2440_HUMAN","P90861","Protein GENE2440",-0.5977,1,0.931434,0,0.0308,4,4,FALSE,FALSE,FALSE
"GENE1787","GENE1787_HUMAN","P88730","Protein GENE1787",-0.9975,1,0.39603,0,0.4023,5,4,FALSE,FALSE,FALSE
"GENE2502","GENE2502_HUMAN","P86154","Protein GENE2502",-0.3555,1,0.502886,0.0591,0.2985,2,4,FALSE,FALSE,FALSE
"GENE1921","GENE1921_HUMAN","P56294","Protein GENE1921",-0.0733,1,0.823018,0,0.0846,3,5,FALSE,FALSE,FALSE
"GENE0544","GENE0544_HUMAN","P34701","Protein GENE0544",4.3478,0.145465,0.031145,0.9103,1.5066,3,2,FALSE,FALSE,TRUE
"GENE0522","GENE0522_HUMAN","P23811","Protein GENE0522",0.2019,1,0.754091,0,0.1226,6,6,FALSE,FALSE,FALSE
"GENE0812","GENE0812_HUMAN","P41993","Protein GENE0812",-0.0405,0.927441,0.398209,0.3457,0.3999,2,4,FALSE,FALSE,FALSE
"GENE2883","GENE2883_HUMAN","P10846","Protein GENE2883",-0.5732,0.995236,0.219265,0.3516,0.659,5,5,FALSE,FALSE,FALSE
"GENE0418","GENE0418_HUMAN","P25174","Protein GENE0418",-0.7919,0.334764,0.116634,0.8016,0.9332,6,5,FALSE,FALSE,FALSE
"GENE0895","GENE0895_HUMAN","P45978","Protein GENE0895",-0.4516,0.805792,0.540211,0,0.2674,4,6,FALSE,FALSE,FALSE
"GENE1056","GENE1056_HUMAN","P73067","Protein GENE1056",1.4259,0.032976,0.011016,1.2739,1.958,2,5,FALSE,FALSE,TRUE
"GENE1955","GENE1955_HUMAN","P59347","Protein GENE1955",-0.0037,0.90087,0.233756,0.0165,0.6312,4,4,FALSE,FALSE,FALSE
"GENE2434","GENE2434_HUMAN","P86298","Protein GENE2434",4.2379,0.075235,0.019592,1.5135,1.7079,5,5,FALSE,FALSE,TRUE
"GENE2728","GENE2728_HUMAN","P17635","Protein GENE2728",0.5436,1,0.767385,0,0.115,2,5,FALSE,TRUE,FALSE
"GENE0093","GENE0093_HUMAN","P61256","Protein GENE0093",-0.2605,1,0.807185,0,0.093,6,4,FALSE,FALSE,FALSE
"GENE0639","GENE0639_HUMAN","P22576","Protein GENE0639",-0.2657,1,0.529683,0,0.276,3,4,FALSE,FALSE,FALSE
"GENE2208","GENE2208_HUMAN","P04613","Protein GENE2208",0.1332,0.960325,0.299952,0.4945,0.5229,4,6,FALSE,FALSE,FALSE
"GENE2290","GENE2290_HUMAN","P25106","Protein GENE2290",1.6783,0.058506,0.020694,1.0887,1.6842,6,3,FALSE,FALSE,TRUE
"GENE0461","GENE0461_HUMAN","P94248","Protein GENE0461",-0.7263,0.672509,0.475687,0,0.3227,3,3,FALSE,FALSE,FALSE
"GENE1241","GENE1241_HUMAN","P58304","Protein GENE1241",2.0388,0.087971,0.027187,0.9982,1.5656,4,6,FALSE,FALSE,TRUE
"GENE0489","GENE0489_HUMAN","P92877","Protein GENE0489",0.5188,0.243004,0.223808,0.4246,0.6501,3,4,FALSE,FALSE,FALSE
"GENE1202","GENE1202_HUMAN","P87621","Protein GENE1202",2.3248,0.110183,0.023355,1.1871,1.6316,2,6,FALSE,TRUE,TRUE
"GENE2558","GENE2558_HUMAN","P92406","Protein GENE2558",-0.3342,1,0.632683,0,0.1988,2,6,FALSE,FALSE,FALSE
"GENE2028","GENE2028_HUMAN","P15143","Protein GENE2028",0.0908,0.135157,0.072009,0.6554,1.1426,2,4,FALSE,TRUE,FALSE
"GENE0056","GENE0056_HUMAN","P85511","Protein GENE0056",-0.3843,1,0.807943,0,0.0926,4,5,FALSE,FALSE,FALSE
"GENE2598","GENE2598_HUMAN","P46629","Protein GENE2598",0.0036,0.175741,0.078982,1.0458,1.1025,6,5,FALSE,FALSE,FALSE
"GENE0961","GENE0961_HUMAN","P73070","Protein GENE0961",-0.4929,0.117537,0.07562,0.51,1.1214,4,6,FALSE,FALSE,FALSE
"GENE2561","GENE2561_HUMAN","P74842","Protein GENE2561",-0.5055,1,0.822173,0.0243,0.085,5,4,TRUE,FALSE,FALSE
"GENE0403","GENE0403_HUMAN","P56185","Protein GENE0403",-0.5045,0.727921,0.184569,0.4588,0.7338,2,6,FALSE,FALSE,FALSE
"GENE0282","GENE0282_HUMAN","P20394","Protein GENE0282",-4.3695,0.089474,0.045655,0.6427,1.3405,5,6,FALSE,FALSE,TRUE
"GENE1986","GENE1986_HUMAN","P40712","Protein GENE1986",-1.5374,0.09529,0.024961,1.3852,1.6027,3,6,FALSE,FALSE,TRUE
"GENE2187","GENE2187_HUMAN","P87380","Protein GENE2187",0.1604,0.783884,0.160997,0.2768,0.7932,6,4,FALSE,TRUE,FALSE
"GENE2641","GENE2641_HUMAN","P82537","Protein GENE2641",2.5049,0.014605,0.008437,1.7331,2.0738,3,4,FALSE,FALSE,TRUE
"GENE0048","GENE0048_HUMAN","P36377","Protein GENE0048",0.3001,0.568646,0.184331,0.1615,0.7344,4,6,FALSE,FALSE,FALSE
"GENE1679","GENE1679_HUMAN","P53708","Protein GENE1679",-0.8876,0.035271,0.01532,1.1226,1.8147,4,6,FALSE,FALSE,TRUE
"GPATCH4","GPATCH4_HUMAN","P37639","Protein GPATCH4",-0.1608,1,0.655121,0,0.1837,4,2,FALSE,FALSE,FALSE
"GENE0903","GENE0903_HUMAN","P90970","Protein GENE0903",0.0519,1,0.805371,0,0.094,4,6,FALSE,FALSE,FALSE
"GENE0851","GENE0851_HUMAN","P45376","Protein GENE0851",3.7033,0.223706,0.045914,0.6572,1.3381,5,6,TRUE,TRUE,TRUE
"GENE1685","GENE1685_HUMAN","P68079","Protein GENE1685",-0.1124,0.761553,0.161326,0.2984,0.7923,3,2,FALSE,FALSE,FALSE
"GENE1649","GENE1649_HUMAN","P48742","Protein GENE1649",-0.4845,1,0.698374,0,0.1559,5,3,FALSE,FALSE,FALSE
"GENE1743","GENE1743_HUMAN","P75021","Protein GENE1743",1.7913,0.035944,0.013842,1.5141,1.8588,2,6,FALSE,FALSE,TRUE
"GENE2739","GENE2739_HUMAN","P17366","Protein GENE2739",0.7751,1,0.558117,0,0.2533,4,6,FALSE,FALSE,FALSE
"GENE2316","GENE2316_HUMAN","P65844","Protein GENE2316",-0.1082,0.228451,0.184517,0.4904,0.734,4,6,FALSE,FALSE,FALSE
"GENE1076","GENE1076_HUMAN","P74250","Protein GENE1076",2.3177,0.013648,0.010874,1.9443,1.9636,4,3,FALSE,FALSE,TRUE
"GENE2159","GENE2159_HUMAN","P58161","Protein GENE2159",-0.4047,1,0.696163,0,0.1573,4,5,FALSE,FALSE,FALSE
"GENE2391","GENE2391_HUMAN","P19300","Protein GENE2391",0.0286,1,0.465405,0,0.3322,4,6,FALSE,FALSE,FALSE
"GENE1724","GENE1724_HUMAN","P21845","Protein GENE1724",0.691,1,0.780709,0.1073,0.1075,2,6,TRUE,TRUE,FALSE
"GENE2602","GENE2602_HUMAN","P23373","Protein GENE2602",-0.2041,1,0.818296,0,0.0871,3,5,FALSE,FALSE,FALSE
"GENE2458","GENE2458_HUMAN","P90568","Protein GENE2458",-0.9341,1,0.756207,0,0.1214,3,4,FALSE,FALSE,FALSE
"GENE1227","GENE1227_HUMAN","P94578","Protein GENE1227",0.0931,0.520046,0.292833,0,0.5334,2,4,FALSE,FALSE,FALSE
"GENE1179","GENE1179_HUMAN","P39033","Protein GENE1179",0.4008,1,0.55159,0,0.2584,5,5,FALSE,FALSE,FALSE
"GENE0789","GENE0789_HUMAN","P65951","Protein GENE0789",-1.0683,0.055135,0.028788,1.1681,1.5408,6,2,FALSE,FALSE,TRUE
"WNK1","WNK1_HUMAN","P72329","Protein WNK1",-0.2762,0.764013,0.666271,0,0.1763,4,4,FALSE,FALSE,FALSE
"GENE1459","GENE1459_HUMAN","P59459","Protein GENE1459",-0.2336,1,0.880018,0,0.0555,2,3,FALSE,FALSE,FALSE
"GENE0905","GENE0905_HUMAN","P35649","Protein GENE0905",-2.5454,0.015191,0.007535,1.4459,2.1229,5,6,FALSE,FALSE,TRUE
"GENE1335","GENE1335_HUMAN","P80099","Protein GENE1335",-0.082,1,0.641242,0,0.193,2,5,FALSE,FALSE,FALSE
"GENE1454","GENE1454_HUMAN","P79619","Protein GENE1454",0.1033,0.619069,0.302432,0.104,0.5194,4,5,FALSE,FALSE,FALSE
"DDX21","DDX21_HUMAN","P50194","Protein DDX21",-0.0446,1,0.855292,0,0.0679,5,3,FALSE,FALSE,FALSE
"GENE0086","GENE0086_HUMAN","P55480","Protein GENE0086",0.6863,0.251498,0.132996,0.6478,0.8762,6,4,FALSE,FALSE,FALSE
"GENE1934","GENE1934_HUMAN","P89559","Protein GENE1934",0.2431,1,0.389786,0.1826,0.4092,3,4,TRUE,TRUE,FALSE
"GENE1776","GENE1776_HUMAN","P35624","Protein GENE1776",0.0937,1,0.376543,0.0715,0.4242,5,5,FALSE,FALSE,FALSE
"GENE2526","GENE2526_HUMAN","P27372","Protein GENE2526",0.1314,1,0.917089,0,0.0376,2,4,FALSE,FALSE,FALSE
"GENE0166","GENE0166_HUMAN","P48485","Protein GENE0166",0.3842,0.932423,0.829813,0,0.081,5,5,FALSE,FALSE,FALSE
"GENE1735","GENE1735_HUMAN","P80450","Protein GENE1735",0.0406,1,0.499129,0,0.3018,3,2,FALSE,FALSE,FALSE
"GENE0096","GENE0096_HUMAN","P94414","Protein GENE0096",0.1653,1,0.84941,0,0.0709,3,6,TRUE,FALSE,FALSE
"GENE2123","GENE2123_HUMAN","P63594","Protein GENE2123",-0.0991,1,0.811298,0,0.0908,3,5,FALSE,FALSE,FALSE
"GENE0882","GENE0882_HUMAN","P18325","Protein GENE0882",-4.199,0.039103,0.022097,1.0893,1.6557,5,6,FALSE,FALSE,TRUE
"GENE1629","GENE1629_HUMAN","P89521","Protein GENE1629",1.0665,1,0.557308,0,0.2539,5,2,FALSE,FALSE,FALSE
"GENE1906","GENE1906_HUMAN","P36749","Protein GENE1906",-1.2258,0.029408,0.015707,1.2282,1.8039,3,5,FALSE,TRUE,TRUE
"GENE0415","GENE0415_HUMAN","P93629","Protein GENE0415",0.7115,1,0.420328,0,0.3764,2,6,FALSE,FALSE,FALSE
"GENE0055","GENE0055_HUMAN","P19945","Protein GENE0055",-1.0088,1,0.320197,0.487,0.4946,4,2,FALSE,FALSE,FALSE
"GENE1721","GENE1721_HUMAN","P55175","Protein GENE1721",-2.2521,0.069261,0.014026,1.486,1.8531,3,5,FALSE,TRUE,TRUE
"GENE0050","GENE0050_HUMAN","P08904","Protein GENE0050",0.0424,1,0.760286,0,0.119,6,3,FALSE,FALSE,FALSE
"GENE2201","GENE2201_HUMAN","P78367","Protein GENE2201",-0.3375,1,0.896396,0,0.0475,6,2,FALSE,FALSE,FALSE
"GENE1120","GENE1120_HUMAN","P85690","Protein GENE1120",4.4074,0.061727,0.033868,1.0618,1.4702,2,3,FALSE,FALSE,TRUE
"GENE0602","GENE0602_HUMAN","P90549","Protein GENE0602",-3.6366,0.144749,0.030231,0.8527,1.5195,4,3,FALSE,TRUE,TRUE
"GENE1524","GENE1524_HUMAN","P92933","Protein GENE1524",0.4268,1,0.716123,0.0074,0.145,4,6,TRUE,FALSE,FALSE
"GENE2815","GENE2815_HUMAN","P73429","Protein GENE2815",0.6119,0.099878,0.041979,1.3435,1.377,3,5,FALSE,FALSE,TRUE
"GENE1548","GENE1548_HUMAN","P51908","Protein GENE1548",-0.3276,1,0.428911,0,0.3676,2,5,FALSE,FALSE,FALSE
"GENE0607","GENE0607_HUMAN","P34128","Protein GENE0607",0.068,1,0.553382,0,0.257,3,4,FALSE,FALSE,FALSE
"GENE1797","GENE1797_HUMAN","P96370","Protein GENE1797",2.4912,0.005425,0.001933,2.304,2.7138,6,5,FALSE,FALSE,TRUE
"GENE0559","GENE0559_HUMAN","P89293","Protein GENE0559",-0.2545,0.446314,0.133745,0.353,0.8737,4,4,FALSE,TRUE,FALSE
"GENE0582","GENE0582_HUMAN","P57056","Protein GENE0582",0.239,0.528982,0.522959,0,0.2815,4,2,FALSE,FALSE,FALSE
"GENE1824","GENE1824_HUMAN","P52733","Protein GENE1824",-0.4295,1,0.949149,0,0.0227,4,2,TRUE,FALSE,FALSE
"GENE0495","GENE0495_HUMAN","P87484","Protein GENE0495",-0.2871,1,0.529196,0,0.2764,6,2,FALSE,FALSE,FALSE
"GENE2812","GENE2812_HUMAN","P59700","Protein GENE2812",0.246,1,0.920674,0,0.0359,3,3,FALSE,FALSE,FALSE
"GENE0094","GENE0094_HUMAN","P03571","Protein GENE0094",-0.5383,1,0.787552,0,0.1037,5,4,FALSE,FALSE,FALSE
"GENE2161","GENE2161_HUMAN","P01742","Protein GENE2161",-0.3373,1,0.77265,0,0.112,4,4,FALSE,FALSE,FALSE
"GENE1444","GENE1444_HUMAN","P00171","Protein GENE1444",0.6801,0.884204,0.196411,0.0622,0.7068,3,6,FALSE,FALSE,FALSE
"GENE1917","GENE1917_HUMAN","P62549","Protein GENE1917",-0.1551,0.209642,0.14268,0.5452,0.8456,5,4,FALSE,FALSE,FALSE
"GENE0174","GENE0174_HUMAN","P71938","Protein GENE0174",1.5473,0.043155,0.023017,0.9819,1.6379,6,3,FALSE,FALSE,TRUE
"GENE1148","GENE1148_HUMAN","P24530","Protein GENE1148",0.4337,0.866162,0.234731,0.1798,0.6294,4,4,FALSE,TRUE,FALSE
"GENE1975","GENE1975_HUMAN","P73988","Protein GENE1975",-0.2349,1,0.712563,0,0.1472,3,4,FALSE,FALSE,FALSE
"GENE2601","GENE2601_HUMAN","P58755","Protein GENE2601",0.1157,0.303895,0.107389,0.6218,0.969,3,6,FALSE,FALSE,FALSE
"GENE2789","GENE2789_HUMAN","P74476","Protein GENE2789",-0.063,1,0.72796,0.0739,0.1379,4,2,FALSE,FALSE,FALSE
"GENE2681","GENE2681_HUMAN","P01100","Protein GENE2681",0.1512,1,0.834229,0,0.0787,2,6,FALSE,FALSE,FALSE
"GENE2155","GENE2155_HUMAN","P10403","Protein GENE2155",-0.2314,1,0.95839,0,0.0185,2,4,FALSE,FALSE,FALSE
"GENE0618","GENE0618_HUMAN","P33963","Protein GENE0618",-1.124,0.120588,0.03795,0.9855,1.4208,5,3,FALSE,FALSE,TRUE
"GENE1436","GENE1436_HUMAN","P94550","Protein GENE1436",-0.9763,1,0.812701,0,0.0901,2,6,FALSE,FALSE,FALSE
"GENE0711","GENE0711_HUMAN","P68221","Protein GENE0711",-0.3042,1,0.447181,0,0.3495,4,6,FALSE,FALSE,FALSE
"GENE0952","GENE0952_HUMAN","P95019","Protein GENE0952",0.3509,1,0.828329,0,0.0818,2,4,TRUE,FALSE,FALSE
"GENE1550","GENE1550_HUMAN","P78596","Protein GENE1550",0.4945,1,0.817346,0,0.0876,2,2,FALSE,FALSE,FALSE
"GENE0685","GENE0685_HUMAN","P31877","Protein GENE0685",0.1686,0.275409,0.118339,0.6635,0.9269,5,4,FALSE,FALSE,FALSE
"GENE1949","GENE1949_HUMAN","P47999","Protein GENE1949",-0.7113,1,0.827208,0,0.0824,2,3,FALSE,FALSE,FALSE
"GENE2727","GENE2727_HUMAN","P96777","Protein GENE2727",3.8419,0.207294,0.047314,1.1392,1.325,5,5,FALSE,FALSE,TRUE
"GENE1286","GENE1286_HUMAN","P48025","Protein GENE1286",-0.8064,1,0.888938,0,0.0511,4,4,FALSE,FALSE,FALSE
"GENE0384","GENE0384_HUMAN","P20111","Protein GENE0384",2.3378,0.044045,0.037225,0.989,1.4292,2,3,FALSE,FALSE,TRUE
"GENE0467","GENE0467_HUMAN","P61876","Protein GENE0467",-0.816,1,0.661244,0,0.1796,4,2,FALSE,FALSE,FALSE
"GENE0280","GENE0280_HUMAN","P50685","Protein GENE0280",-0.1406,1,0.809521,0,0.0918,4,5,FALSE,FALSE,FALSE
"GENE2454","GENE2454_HUMAN","P39932","Protein GENE2454",0.3233,0.429689,0.351279,0,0.4543,6,4,FALSE,FALSE,FALSE
"GENE1619","GENE1619_HUMAN","P70841","Protein GENE1619",0.0074,1,0.678194,0,0.1686,2,4,FALSE,FALSE,FALSE
"GENE0831","GENE0831_HUMAN","P95925","Protein GENE0831",-3.3709,0.050907,0.011386,1.7824,1.9436,2,3,FALSE,FALSE,TRUE
"GENE2794","GENE2794_HUMAN","P66189","Protein GENE2794",0.4598,1,0.734704,0,0.1339,6,3,FALSE,FALSE,FALSE
"GENE0564","GENE0564_HUMAN","P72055","Protein GENE0564",-0.2134,0.876727,0.235075,0,0.6288,4,2,FALSE,FALSE,FALSE
"GENE2799","GENE2799_HUMAN","P01848","Protein GENE2799",0.0975,1,0.770591,0,0.1132,4,4,FALSE,FALSE,FALSE
"GENE0580","GENE0580_HUMAN","P11579","Protein GENE0580",0.361,0.303948,0.097769,0.587,1.0098,2,2,FALSE,FALSE,FALSE
"GENE1342","GENE1342_HUMAN","P63931","Protein GENE1342",-1.2974,1,0.791389,0,0.1016,6,5,FALSE,FALSE,FALSE
"GENE0947","GENE0947_HUMAN","P67806","Protein GENE0947",-0.0174,1,0.795578,0,0.0993,3,3,FALSE,FALSE,FALSE
"GENE2685","GENE2685_HUMAN","P59588","Protein GENE2685",0.1852,0.495318,0.357154,0,0.4471,2,2,FALSE,FALSE,FALSE
"GENE2226","GENE2226_HUMAN","P70835","Protein GENE2226",0.0647,1,0.867518,0,0.0617,3,6,FALSE,FALSE,FALSE
"GENE2672","GENE2672_HUMAN","P11925","Protein GENE2672",0.3187,1,0.361472,0.266,0.4419,2,3,FALSE,FALSE,FALSE
"GENE2588","GENE2588_HUMAN","P75816","Protein GENE2588",0.1701,0.844527,0.241198,0.0561,0.6176,3,6,FALSE,FALSE,FALSE
"GENE2012","GENE2012_HUMAN","P38491","Protein GENE2012",-0.0727,0.473893,0.2107,0.1413,0.6763,3,4,FALSE,FALSE,FALSE
"GENE1261","GENE1261_HUMAN","P16941","Protein GENE1261",0.5727,0.640556,0.374356,0.3803,0.4267,4,5,FALSE,FALSE,FALSE
"GENE1281","GENE1281_HUMAN","P84874","Protein GENE1281",-0.2212,1,0.799237,0,0.0973,6,5,FALSE,FALSE,FALSE
"GENE1357","GENE1357_HUMAN","P51520","Protein GENE1357",3.2375,0.200228,0.041453,0.9322,1.3824,5,6,FALSE,FALSE,TRUE
"GENE2447","GENE2447_HUMAN","P09649","Protein GENE2447",-0.474,1,0.973052,0,0.0119,4,5,TRUE,FALSE,FALSE
