"Gene","Entry.Name","UniProt.ID","Description","logFC","P.Val","adj.P.Val","log.P.Val","log.adj.P.Val","n_data_points_BK516_Ctrl","n_data_points_BK516_Cflag","imputed_BK516_Cflag","imputed_BK516_Ctrl","is_significant"
"GENE1001","GENE1001_HUMAN","P88684","Protein GENE1001",-0.1041,1,0.76379,0,0.117,3,4,FALSE,FALSE,FALSE
"GENE0729","GENE0729_HUMAN","P04130","Protein GENE0729",0.1469,1,0.649325,0,0.1875,5,6,FALSE,TRUE,FALSE
"GENE1568","GENE1568_HUMAN","P25930","Protein GENE1568",0.1002,1,0.787171,0.0687,0.1039,2,2,FALSE,FALSE,FALSE
"GENE2081","GENE2081_HUMAN","P88368","Protein GENE2081",0.0997,0.682239,0.384915,0,0.4146,3,5,FALSE,FALSE,FALSE
"GENE1050","GENE1050_HUMAN","P42716","Protein GENE1050",-0.1376,0.947771,0.541475,0,0.2664,6,5,FALSE,FALSE,FALSE
"GENE0182","GENE0182_HUMAN","P64944","Protein GENE0182",-0.4871,1,0.509388,0.1513,0.293,6,4,FALSE,FALSE,FALSE
"GENE1841","GENE1841_HUMAN","P36934","Protein GENE1841",0.3013,0.607131,0.394332,0,0.4041,6,6,FALSE,FALSE,FALSE
"GENE2729","GENE2729_HUMAN","P79012","Protein GENE2729",-0.1157,1,0.773852,0,0.1113,2,4,FALSE,FALSE,FALSE
"GENE1633","GENE1633_HUMAN","P69876","Protein GENE1633",0.2375,1,0.337951,0,0.4711,6,2,FALSE,FALSE,FALSE
"GENE1352","GENE1352_HUMAN","P74082","Protein GENE1352",-0.6802,1,0.937577,0,0.028,4,3,FALSE,FALSE,FALSE
"DHX29","DHX29_HUMAN","P96654","Protein DHX29",-0.1527,1,0.325923,0,0.4869,2,2,TRUE,FALSE,FALSE
"GENE0637","GENE0637_HUMAN","P34314","Protein GENE0637",0.1691,0.718167,0.624918,0,0.2042,5,5,FALSE,FALSE,FALSE
"GENE0871","GENE0871_HUMAN","P55152","Protein GENE0871",-0.0175,1,0.665804,0,0.1767,2,5,FALSE,FALSE,FALSE
"GENE0878","GENE0878_HUMAN","P49596","Protein GENE0878",0.1561,1,0.549956,0.0964,0.2597,5,3,FALSE,FALSE,FALSE
"GENE1351","GENE1351_HUMAN","P55162","Protein GENE1351",-0.3424,1,0.429506,0.365,0.367,5,4,FALSE,FALSE,FALSE
"GENE2520","GENE2520_HUMAN","P09045","Protein GENE2520",-0.4675,1,0.960745,0,0.0174,5,2,FALSE,FALSE,FALSE
"GENE1383","GENE1383_HUMAN","P21730","Protein GENE1383",0.502,1,0.802801,0,0.0954,4,2,FALSE,FALSE,FALSE
"GENE1694","GENE1694_HUMAN","P85470","Protein GENE1694",0.2438,1,0.645896,0,0.1898,4,2,FALSE,FALSE,FALSE
"GENE1594","GENE1594_HUMAN","P93275","Protein GENE1594",-0.4504,0.748402,0.206384,0.675,0.6853,3,5,TRUE,FALSE,FALSE
"GENE1838","GENE1838_HUMAN","P67458","Protein GENE1838",-0.6072,1,0.440753,0.2174,0.3558,5,4,FALSE,FALSE,FALSE
"GENE1695","GENE1695_HUMAN","P98174","Protein GENE1695",0.0544,1,0.613836,0,0.2119,2,4,FALSE,TRUE,FALSE
"GENE1478","GENE1478_HUMAN","P69091","Protein GENE1478",0.3065,1,0.65909,0,0.1811,6,3,FALSE,FALSE,FALSE
"GENE1155","GENE1155_HUMAN","P04625","Protein GENE1155",-0.5109,1,0.628679,0,0.2016,2,4,FALSE,FALSE,FALSE
"GENE2497","GENE2497_HUMAN","P28411","Protein GENE2497",-0.7541,1,0.27697,3e-04,0.5576,2,3,FALSE,FALSE,FALSE
"GENE2565","GENE2565_HUMAN","P22086","Protein GENE2565",0.1453,1,0.835307,0,0.0782,3,5,FALSE,FALSE,FALSE
"GENE2742","GENE2742_HUMAN","P01922","Protein GENE2742",0.3553,0.487698,0.108689,0.3571,0.9638,2,2,FALSE,FALSE,FALSE
"GENE2016","GENE2016_HUMAN","P90455","Protein GENE2016",0.1175,1,0.999571,0,2e-04,3,4,FALSE,FALSE,FALSE
"GENE1295","GENE1295_HUMAN","P57545","Protein GENE1295",0.2076,0.745019,0.478302,0,0.3203,5,4,FALSE,FALSE,FALSE
"GENE1418","GENE1418_HUMAN","P63881","Protein GENE1418",-0.3946,1,0.312817,0.1141,0.5047,4,6,FALSE,FALSE,FALSE
"GENE1814","GENE1814_HUMAN","P37181","Protein GENE1814",0.3497,1,0.487273,0.2252,0.3122,6,2,FALSE,FALSE,FALSE
"GENE1505","GENE1505_HUMAN","P62459","Protein GENE1505",-0.6118,1,0.713895,0,0.1464,3,6,FALSE,FALSE,FALSE
"GENE1955","GENE1955_HUMAN","P67545","Protein GENE1955",0.6481,1,0.634526,0,0.1976,5,5,FALSE,TRUE,FALSE
"GENE2135","GENE2135_HUMAN","P33059","Protein GENE2135",-0.5614,1,0.751467,0.0409,0.1241,6,6,FALSE,FALSE,FALSE
"GENE2031","GENE2031_HUMAN","P59444","Protein GENE2031",-0.6336,0.78678,0.185697,0.3691,0.7312,6,6,FALSE,FALSE,FALSE
"GENE0004","GENE0004_HUMAN","P70742","Protein GENE0004",-0.5703,1,0.652832,0,0.1852,2,4,FALSE,FALSE,FALSE
"GENE2298","GENE2298_HUMAN","P20282","Protein GENE2298",-0.271,1,0.700566,0,0.1546,5,6,FALSE,FALSE,FALSE
"GENE1153","GENE1153_HUMAN","P67957","Protein GENE1153",0.6553,0.31549,0.099628,0.6705,1.0016,5,4,FALSE,FALSE,FALSE
"GENE1174","GENE1174_HUMAN","P54491","Protein GENE1174",-0.2525,1,0.75286,0,0.1233,2,2,FALSE,FALSE,FALSE
"GENE1348","GENE1348_HUMAN","P59045","Protein GENE1348",-0.5467,1,0.310539,0,0.5079,6,3,FALSE,FALSE,FALSE
"GENE0044","GENE0044_HUMAN","P47952","Protein GENE0044",-0.7032,1,0.818821,0,0.0868,3,2,TRUE,FALSE,FALSE
"GENE1808","GENE1808_HUMAN","P88021","Protein GENE1808",0.1318,0.828358,0.445793,0,0.3509,2,3,FALSE,FALSE,FALSE
"GENE0586","GENE0586_HUMAN","P65881","Protein GENE0586",-0.0496,1,0.603986,0.0357,0.219,3,6,FALSE,FALSE,FALSE
"GENE1482","GENE1482_HUMAN","P68319","Protein GENE1482",0.3065,0.467213,0.113646,0.4793,0.9444,6,5,FALSE,FALSE,FALSE
"GENE1481","GENE1481_HUMAN","P24271","Protein GENE1481",-0.1521,1,0.785075,0,0.1051,3,5,TRUE,FALSE,FALSE
"GENE1772","GENE1772_HUMAN","P23207","Protein GENE1772",0.0622,1,0.879462,0,0.0558,3,3,FALSE,FALSE,FALSE
"GENE0470","GENE0470_HUMAN","P19466","Protein GENE0470",0.3454,1,0.374464,0,0.4266,4,4,FALSE,FALSE,FALSE
"GENE1995","GENE1995_HUMAN","P71041","Protein GENE1995",-0.1771,1,0.829319,0,0.0813,2,2,TRUE,FALSE,FALSE
"GENE0444","GENE0444_HUMAN","P40808","Protein GENE0444",-0.064,1,0.538719,0.1019,0.2686,6,2,FALSE,FALSE,FALSE
"GENE0959","GENE0959_HUMAN","P03007","Protein GENE0959",0.3375,1,0.678625,0,0.1684,2,3,FALSE,TRUE,FALSE
"GENE1350","GENE1350_HUMAN","P75062","Protein GENE1350",-0.4479,0.13894,0.087267,0.8709,1.0591,6,3,FALSE,FALSE,FALSE
"GENE2251","GENE2251_HUMAN","P15470","Protein GENE2251",0.5248,1,0.572847,0,0.242,5,2,FALSE,TRUE,FALSE
"GENE1591","GENE1591_HUMAN","P48247","Protein GENE1591",0.368,1,0.631028,0,0.2,2,3,FALSE,FALSE,FALSE
"GENE0677","GENE0677_HUMAN","P64505","Protein GENE0677",-1.4023,0.052145,0.035938,0.8889,1.4445,2,2,FALSE,FALSE,TRUE
"GENE0838","GENE0838_HUMAN","P86535","Protein GENE0838",0.3001,1,0.924903,0,0.0339,5,2,FALSE,FALSE,FALSE
"GENE2166","GENE2166_HUMAN","P63954","Protein GENE2166",0.0389,1,0.85558,0,0.0677,5,3,TRUE,FALSE,FALSE
"GENE1942","GENE1942_HUMAN","P78432","Protein GENE1942",0.3593,0.343765,0.186833,0.0823,0.7285,6,5,FALSE,FALSE,FALSE
"GENE2833","GENE2833_HUMAN","P90010","Protein GENE2833",-0.3335,0.753309,0.170096,0.4979,0.7693,3,5,FALSE,FALSE,FALSE
"GENE0290","GENE0290_HUMAN","P03925","Protein GENE0290",0.2384,0.178029,0.114975,0.7782,0.9394,2,3,FALSE,FALSE,FALSE
"GENE0939","GENE0939_HUMAN","P68083","Protein GENE0939",0.0937,0.452842,0.110532,0.6193,0.9565,4,2,FALSE,TRUE,FALSE
"GENE1213","GENE1213_HUMAN","P48516","Protein GENE1213",0.5528,1,0.631507,0,0.1996,5,2,FALSE,FALSE,FALSE
"GENE0115","GENE0115_HUMAN","P10389","Protein GENE0115",-1.268,1,0.558501,0,0.253,2,4,FALSE,FALSE,FALSE
"GENE0882","GENE0882_HUMAN","P35844","Protein GENE0882",-0.9415,1,0.907595,0,0.0421,4,3,FALSE,FALSE,FALSE
"GENE2425","GENE2425_HUMAN","P80099","Protein GENE2425",0.2798,1,0.70411,0,0.1524,5,5,FALSE,FALSE,FALSE
"GENE1555","GENE1555_HUMAN","P12989","Protein GENE1555",0.3838,0.201818,0.195338,0.6396,0.7092,3,5,FALSE,FALSE,FALSE
"NCOA7","NCOA7_HUMAN","P14964","Protein NCOA7",1.4833,0.029191,0.005962,1.5893,2.2246,5,6,FALSE,FALSE,TRUE
"GENE1149","GENE1149_HUMAN","P60162","Protein GENE1149",0.2597,1,0.437574,0.2883,0.3589,2,3,FALSE,FALSE,FALSE
"GENE2236","GENE2236_HUMAN","P82499","Protein GENE2236",0.3302,1,0.307602,0.4816,0.512,5,3,FALSE,FALSE,FALSE
"GENE0591","GENE0591_HUMAN","P70000","Protein GENE0591",0.7115,1,0.688742,0,0.1619,3,4,TRUE,FALSE,FALSE
"GENE0545","GENE0545_HUMAN","P44726","Protein GENE0545",-0.2271,0.439495,0.394838,0,0.4036,4,4,FALSE,FALSE,FALSE
"GENE1054","GENE1054_HUMAN","P17641","Protein GENE1054",-0.1716,1,0.834561,0,0.0785,5,5,FALSE,FALSE,FALSE
"GENE1921","GENE1921_HUMAN","P33434","Protein GENE1921",0.2321,0.701258,0.462044,0.2449,0.3353,3,2,TRUE,FALSE,FALSE
"GENE1950","GENE1950_HUMAN","P39462","Protein GENE1950",-0.3776,0.828613,0.188235,0.1397,0.7253,6,6,FALSE,FALSE,FALSE
"GENE0953","GENE0953_HUMAN","P68292","Protein GENE0953",0.5762,0.62602,0.160374,0.1111,0.7949,5,3,FALSE,FALSE,FALSE
"GENE2097","GENE2097_HUMAN","P17892","Protein GENE2097",-0.0584,1,0.657768,0,0.1819,2,5,FALSE,FALSE,FALSE
"GENE1205","GENE1205_HUMAN","P32152","Protein GENE1205",-0.1377,1,0.590063,0,0.2291,2,4,FALSE,FALSE,FALSE
"GENE1186","GENE1186_HUMAN","P49244","Protein GENE1186",0.0204,1,0.738607,0.0274,0.1316,6,2,FALSE,FALSE,FALSE
"GENE2478","GENE2478_HUMAN","P17282","Protein GENE2478",-0.1103,0.514888,0.115339,0.3236,0.938,6,2,FALSE,FALSE,FALSE
"GENE1002","GENE1002_HUMAN","P55560","Protein GENE1002",-0.3526,0.910831,0.340832,0.0449,0.4675,6,3,FALSE,FALSE,FALSE
"GENE1774","GENE1774_HUMAN","P30836","Protein GENE1774",-1.0046,1,0.962794,0,0.0165,4,4,FALSE,FALSE,FALSE
"GENE0937","GENE0937_HUMAN","P88539","Protein GENE0937",-0.4094,1,0.721436,0,0.1418,2,4,FALSE,FALSE,FALSE
"GENE0318","GENE0318_HUMAN","P19915","Protein GENE0318",0.1044,1,0.872554,0,0.0592,6,4,FALSE,FALSE,FALSE
"GENE1516","GENE1516_HUMAN","P64799","Protein GENE1516",0.5328,0.962989,0.220363,0.0829,0.6569,5,6,FALSE,TRUE,FALSE
"GENE1583","GENE1583_HUMAN","P32490","Protein GENE1583",-0.1734,0.434936,0.348408,0.2791,0.4579,2,6,FALSE,FALSE,FALSE
"GENE0687","GENE0687_HUMAN","P87804","Protein GENE0687",0.0568,1,0.810951,0,0.091,2,5,FALSE,FALSE,FALSE
"GENE1519","GENE1519_HUMAN","P28295","Protein GENE1519",0.0137,0.35715,0.236388,0.2212,0.6264,3,3,FALSE,FALSE,FALSE
"GENE1578","GENE1578_HUMAN","P60984","Protein GENE1578",-0.5996,0.588387,0.287987,0.2146,0.5406,4,3,FALSE,FALSE,FALSE
"GENE2420","GENE2420_HUMAN","P54311","Protein GENE2420",0.0503,1,0.750327,0,0.1247,6,3,FALSE,FALSE,FALSE
"GENE1262","GENE1262_HUMAN","P28428","Protein GENE1262",0.4153,0.448213,0.132721,0.6565,0.8771,3,2,FALSE,FALSE,FALSE
"GPATCH3","GPATCH3_HUMAN","P71862","Protein GPATCH3",0.7292,1,0.575411,0,0.24,2,3,FALSE,FALSE,FALSE
"GENE0334","GENE0334_HUMAN","P04786","Protein GENE0334",0.2437,1,0.97422,0,0.0113,5,5,FALSE,FALSE,FALSE
"GENE0769","GENE0769_HUMAN","P62688","Protein GENE0769",0.3033,0.509172,0.270759,0.4159,0.5674,3,2,FALSE,FALSE,FALSE
"GENE0148","GENE0148_HUMAN","P30260","Protein GENE0148",-0.6807,1,0.890257,0,0.0505,2,5,FALSE,FALSE,FALSE
"GENE0055","GENE0055_HUMAN","P00276","Protein GENE0055",-0.3026,1,0.84105,0,0.0752,6,3,FALSE,FALSE,FALSE
"GENE0561","GENE0561_HUMAN","P14428","Protein GENE0561",0.1359,0.379181,0.1032,0.3216,0.9863,2,4,FALSE,FALSE,FALSE
"GENE1027","GENE1027_HUMAN","P96839","Protein GENE1027",0.0396,0.797946,0.206789,0.2929,0.6845,4,4,FALSE,FALSE,FALSE
"GENE2703","GENE2703_HUMAN","P41825","Protein GENE2703",0.5201,0.646417,0.404045,0.3349,0.3936,6,4,FALSE,FALSE,FALSE
"GENE2115","GENE2115_HUMAN","P25588","Protein GENE2115",-0.1122,1,0.628105,0,0.202,2,3,FALSE,FALSE,FALSE
"GENE2249","GENE2249_HUMAN","P36010","Protein GENE2249",-0.3878,1,0.418148,0,0.3787,3,6,FALSE,FALSE,FALSE
"GENE2468","GENE2468_HUMAN","P94759","Protein GENE2468",0.4967,1,0.604376,0,0.2187,2,3,FALSE,FALSE,FALSE
"GENE2479","GENE2479_HUMAN","P31501","Protein GENE2479",-0.7475,1,0.829135,0,0.0814,2,4,FALSE,FALSE,FALSE
"GENE1058","GENE1058_HUMAN","P53504","Protein GENE1058",0.2667,1,0.383024,0,0.4168,6,2,FALSE,FALSE,FALSE
"GENE2675","GENE2675_HUMAN","P44754","Protein GENE2675",0.5243,1,0.448663,0,0.3481,6,6,FALSE,FALSE,FALSE
"GENE0477","GENE0477_HUMAN","P96408","Protein GENE0477",0.2355,1,0.919882,0,0.0363,5,3,FALSE,FALSE,FALSE
"GENE2079","GENE2079_HUMAN","P50600","Protein GENE2079",-0.0391,1,0.693474,0,0.159,6,3,FALSE,FALSE,FALSE
"GENE2040","GENE2040_HUMAN","P71061","Protein GENE2040",-0.7724,1,0.925943,0,0.0334,4,5,FALSE,FALSE,FALSE
"GENE1867","GENE1867_HUMAN","P27101","Protein GENE1867",1.2751,1,0.586272,0,0.2319,5,5,FALSE,FALSE,FALSE
"GENE1106","GENE1106_HUMAN","P99989","Protein GENE1106",0.7196,0.061238,0.013739,1.3193,1.862,5,2,FALSE,FALSE,TRUE
"GENE0091","GENE0091_HUMAN","P86770","Protein GENE0091",-0.1098,0.185994,0.061878,1.1674,1.2085,2,4,FALSE,FALSE,FALSE
"GENE2549","GENE2549_HUMAN","P36849","Protein GENE2549",0.5906,1,0.538228,0,0.269,4,5,FALSE,FALSE,FALSE
"GENE0627","GENE0627_HUMAN","P20678","Protein GENE0627",0.8026,1,0.977256,0,0.01,3,2,FALSE,FALSE,FALSE
"GENE0829","GENE0829_HUMAN","P55264","Protein GENE0829",0.3888,1,0.760598,0,0.1188,5,6,FALSE,FALSE,FALSE
"GENE2196","GENE2196_HUMAN","P11765","Protein GENE2196",0.0606,1,0.592058,0,0.2276,4,4,FALSE,FALSE,FALSE
"GENE0494","GENE0494_HUMAN","P40177","Protein GENE0494",0.2079,1,0.950369,0,0.0221,2,3,TRUE,FALSE,FALSE
"GENE2618","GENE2618_HUMAN","P01666","Protein GENE2618",0.4729,0.979139,0.264655,0.4367,0.5773,4,2,FALSE,TRUE,FALSE
"GENE0039","GENE0039_HUMAN","P11591","Protein GENE0039",-0.1371,1,0.410342,0,0.3869,5,4,FALSE,FALSE,FALSE
"GENE0114","GENE0114_HUMAN","P63664","Protein GENE0114",-0.4112,1,0.943381,0,0.0253,6,6,FALSE,FALSE,FALSE
"GENE2548","GENE2548_HUMAN","P19626","Protein GENE2548",0.0989,1,0.420385,0,0.3764,5,6,FALSE,FALSE,FALSE
"GENE1729","GENE1729_HUMAN","P94216","Protein GENE1729",0.6795,1,0.673402,0,0.1717,2,2,FALSE,FALSE,FALSE
"GENE0390","GENE0390_HUMAN","P81650","Protein GENE0390",0.5408,1,0.899335,0,0.0461,2,4,FALSE,FALSE,FALSE
"GENE0030","GENE0030_HUMAN","P83252","Protein GENE0030",-0.3658,1,0.269364,0.2148,0.5697,3,2,FALSE,FALSE,FALSE
"GENE0155","GENE0155_HUMAN","P04768","Protein GENE0155",0.3656,0.082925,0.064727,0.7308,1.1889,3,6,FALSE,FALSE,FALSE
"GENE1526","GENE1526_HUMAN","P18877","Protein GENE1526",-0.1415,0.834418,0.581888,0,0.2352,5,5,FALSE,FALSE,FALSE
"GENE1773","GENE1773_HUMAN","P24890","Protein GENE1773",0.8624,1,0.40069,0,0.3972,4,5,FALSE,TRUE,FALSE
"GENE1836","GENE1836_HUMAN","P15541","Protein GENE1836",3.4775,0.196054,0.040874,0.7598,1.3886,5,2,FALSE,FALSE,TRUE
"GENE1169","GENE1169_HUMAN","P35949","Protein GENE1169",0.5168,1,0.930992,0,0.0311,4,6,FALSE,FALSE,FALSE
"GENE0358","GENE0358_HUMAN","P67003","Protein GENE0358",0.0317,1,0.523682,3e-04,0.2809,5,2,FALSE,FALSE,FALSE
"GENE2528","GENE2528_HUMAN","P92139","Protein GENE2528",-0.1701,0.636156,0.135265,0.2805,0.8688,3,2,FALSE,FALSE,FALSE
"GENE1692","GENE1692_HUMAN","P60580","Protein GENE1692",0.2393,1,0.468154,0.2251,0.3296,4,6,FALSE,FALSE,FALSE
"DHX9","DHX9_HUMAN","P16591","Protein DHX9",0.4168,1,0.810315,0,0.0913,3,2,FALSE,FALSE,FALSE
"GENE1906","GENE1906_HUMAN","P20315","Protein GENE1906",0.7979,1,0.801024,0,0.0964,2,6,FALSE,FALSE,FALSE
"TRIP4","TRIP4_HUMAN","P18928","Protein TRIP4",-0.4878,1,0.815247,0,0.0887,6,2,FALSE,FALSE,FALSE
"GENE1044","GENE1044_HUMAN","P96464","Protein GENE1044",-0.2303,0.45351,0.134573,0.2988,0.871,4,2,FALSE,FALSE,FALSE
"GENE1336","GENE1336_HUMAN","P25398","Protein GENE1336",-0.5765,0.921226,0.29158,0.075,0.5352,4,6,FALSE,FALSE,FALSE
"GENE1176","GENE1176_HUMAN","P45444","Protein GENE1176",-0.1338,1,0.627794,0,0.2022,2,6,FALSE,FALSE,FALSE
"GENE2269","GENE2269_HUMAN","P90034","Protein GENE2269",0.0647,1,0.949127,0,0.0227,2,4,FALSE,FALSE,FALSE
"GENE0086","GENE0086_HUMAN","P20657","Protein GENE0086",-0.0557,0.672708,0.255639,0.1025,0.5924,5,2,TRUE,FALSE,FALSE
"DDX50","DDX50_HUMAN","P95874","Protein DDX50",0.0373,0.719436,0.619557,0,0.2079,5,6,FALSE,TRUE,FALSE
"GENE0272","GENE0272_HUMAN","P41526","Protein GENE0272",0.0822,0.201955,0.159757,0.1333,0.7965,3,4,FALSE,FALSE,FALSE
"GENE2296","GENE2296_HUMAN","P26057","Protein GENE2296",-0.187,1,0.405214,0,0.3923,5,4,FALSE,FALSE,FALSE
"GENE2780","GENE2780_HUMAN","P87863","Protein GENE2780",0.7261,1,0.790283,0,0.1022,6,3,FALSE,TRUE,FALSE
"GENE2727","GENE2727_HUMAN","P19375","Protein GENE2727",-0.9697,1,0.744944,0,0.1279,3,5,FALSE,FALSE,FALSE
"GENE2122","GENE2122_HUMAN","P93562","Protein GENE2122",-0.0603,1,0.769794,0,0.1136,2,2,FALSE,TRUE,FALSE
"GENE0831","GENE0831_HUMAN","P60621","Protein GENE0831",-0.1328,1,0.321193,0,0.4932,3,4,FALSE,FALSE,FALSE
"GENE0423","GENE0423_HUMAN","P86051","Protein GENE0423",0.203,1,0.961409,0,0.0171,4,4,FALSE,FALSE,FALSE
"GENE1258","GENE1258_HUMAN","P99699","Protein GENE1258",0.1889,1,0.853146,0,0.069,2,4,FALSE,FALSE,FALSE
"GENE2695","GENE2695_HUMAN","P28177","Protein GENE2695",0.4605,0.32821,0.236199,0,0.6267,3,6,TRUE,FALSE,FALSE
"GENE1702","GENE1702_HUMAN","P85616","Protein GENE1702",0.5248,0.26386,0.17604,0.4808,0.7544,6,4,FALSE,TRUE,FALSE
"GENE2738","GENE2738_HUMAN","P14585","Protein GENE2738",0.0611,1,0.413884,0,0.3831,3,6,FALSE,FALSE,FALSE
"GENE2004","GENE2004_HUMAN","P95908","Protein GENE2004",0.0767,0.484692,0.28524,0.09,0.5448,4,5,FALSE,FALSE,FALSE
"GENE1417","GENE1417_HUMAN","P76356","Protein GENE1417",-0.1685,1,0.848136,0,0.0715,2,5,FALSE,FALSE,FALSE
"NCOA1","NCOA1_HUMAN","P38036","Protein NCOA1",2.179,0.05142,0.02391,1.0737,1.6214,6,2,FALSE,FALSE,TRUE
"GENE0830","GENE0830_HUMAN","P98404","Protein GENE0830",-0.3909,1,0.939211,0,0.0272,4,2,FALSE,FALSE,FALSE
"GENE2336","GENE2336_HUMAN","P51545","Protein GENE2336",0.1191,1,0.759006,0,0.1198,4,2,FALSE,FALSE,FALSE
"GENE0750","GENE0750_HUMAN","P08443","Protein GENE0750",0.417,0.358404,0.134499,0.3245,0.8713,6,2,FALSE,FALSE,FALSE
"GENE1165","GENE1165_HUMAN","P49283","Protein GENE1165",0.44,1,0.673316,0,0.1718,2,5,FALSE,FALSE,FALSE
"GENE2007","GENE2007_HUMAN","P13918","Protein GENE2007",0.4118,1,0.592026,0,0.2277,2,3,FALSE,FALSE,FALSE
"GENE1751","GENE1751_HUMAN","P45062","Protein GENE1751",-0.2664,1,0.854764,0,0.0682,3,2,FALSE,FALSE,FALSE
"GENE1561","GENE1561_HUMAN","P05362","Protein GENE1561",-0.3435,0.498714,0.102647,0.4676,0.9887,4,5,FALSE,FALSE,FALSE
"GENE1871","GENE1871_HUMAN","P03434","Protein GENE1871",-0.594,0.998625,0.456946,0.0526,0.3401,6,6,TRUE,FALSE,FALSE
"GENE1057","GENE1057_HUMAN","P63130","Protein GENE1057",0.0872,0.593962,0.336138,0,0.4735,4,6,FALSE,FALSE,FALSE
"GENE2235","GENE2235_HUMAN","P35358","Protein GENE2235",0.1968,0.272758,0.066048,0.7526,1.1801,6,5,FALSE,FALSE,FALSE
"GENE1360","GENE1360_HUMAN","P97726","Protein GENE1360",0.5243,1,0.927214,0,0.0328,2,5,FALSE,FALSE,FALSE
"GENE0238","GENE0238_HUMAN","P02090","Protein GENE0238",0.0265,0.484352,0.183202,0.1416,0.7371,4,4,FALSE,FALSE,FALSE
"AGGF1","AGGF1_HUMAN","P63722","Protein AGGF1",-0.3836,1,0.624181,0,0.2047,4,4,FALSE,FALSE,FALSE
"GENE0260","GENE0260_HUMAN","P49790","Protein GENE0260",0.4853,1,0.903064,0,0.0443,5,4,FALSE,FALSE,FALSE
"GENE0310","GENE0310_HUMAN","P92657","Protein GENE0310",-0.0664,1,0.762856,0,0.1176,4,2,FALSE,FALSE,FALSE
