"Gene","Entry.Name","UniProt.ID","Description","logFC","P.Val","adj.P.Val","log.P.Val","log.adj.P.Val","n_data_points_BK516_Ctrl","n_data_points_BK516_Cflag","imputed_BK516_Cflag","imputed_BK516_Ctrl","is_significant"
"GENE2316","GENE2316_HUMAN","P69454","Protein GENE2316",-0.5464,0.92112,0.533437,0,0.2729,4,5,FALSE,FALSE,FALSE
"GENE2496","GENE2496_HUMAN","P20725","Protein GENE2496",0.9013,0.243446,0.236097,0.3349,0.6269,2,5,FALSE,FALSE,FALSE
"GENE1222","GENE1222_HUMAN","P71439","Protein GENE1222",0.3137,1,0.8758,0,0.0576,5,2,FALSE,TRUE,FALSE
"GENE0580","GENE0580_HUMAN","P66189","Protein GENE0580",-0.4441,1,0.928991,0,0.032,5,3,FALSE,FALSE,FALSE
"GENE2265","GENE2265_HUMAN","P24198","Protein GENE2265",0.0404,1,0.752537,0,0.1235,3,5,FALSE,FALSE,FALSE
"GENE0476","GENE0476_HUMAN","P55573","Protein GENE0476",0.6945,0.783295,0.745362,0,0.1276,4,6,FALSE,FALSE,FALSE
"GENE0909","GENE0909_HUMAN","P28098","Protein GENE0909",0.1606,1,0.700423,0,0.1546,2,2,FALSE,FALSE,FALSE
"GENE2274","GENE2274_HUMAN","P53777","Protein GENE2274",-0.272,0.426391,0.378424,0,0.422,4,3,FALSE,FALSE,FALSE
"GENE1328","GENE1328_HUMAN","P56291","Protein GENE1328",3.5041,0.118158,0.034563,0.7633,1.4614,2,5,FALSE,FALSE,TRUE
"GENE0630","GENE0630_HUMAN","P06275","Protein GENE0630",-0.0956,1,0.401272,0,0.3966,3,5,FALSE,TRUE,FALSE
"GENE0031","GENE0031_HUMAN","P40160","Protein GENE0031",0.1777,0.522266,0.434147,0,0.3624,5,2,FALSE,FALSE,FALSE
"GENE1064","GENE1064_HUMAN","P80746","Protein GENE1064",2.3975,0.13333,0.029235,0.9335,1.5341,6,5,FALSE,FALSE,TRUE
"GENE0892","GENE0892_HUMAN","P49572","Protein GENE0892",0.7523,1,0.838863,0,0.0763,2,3,FALSE,FALSE,FALSE
"GENE2429","GENE2429_HUMAN","P62676","Protein GENE2429",-0.3492,1,0.532268,0.1233,0.2739,3,3,FALSE,FALSE,FALSE
"GENE2818","GENE2818_HUMAN","P39455","Protein GENE2818",0.8762,1,0.464123,0,0.3334,2,4,FALSE,FALSE,FALSE
"GENE0457","GENE0457_HUMAN","P76928","Protein GENE0457",0.1782,1,0.460661,0,0.3366,3,2,FALSE,TRUE,FALSE
"GENE2370","GENE2370_HUMAN","P07384","Protein GENE2370",2.571,0.127998,0.043221,1.0459,1.3643,5,3,FALSE,FALSE,TRUE
"GENE0780","GENE0780_HUMAN","P39190","Protein GENE0780",0.0242,1,0.732899,0,0.135,3,5,FALSE,FALSE,FALSE
"GENE2311","GENE2311_HUMAN","P35268","Protein GENE2311",-0.8051,0.439562,0.203874,0.0723,0.6906,2,6,FALSE,FALSE,FALSE
"GENE2868","GENE2868_HUMAN","P55120","Protein GENE2868",-0.4025,1,0.283302,0.0069,0.5477,4,5,FALSE,TRUE,FALSE
"GENE1632","GENE1632_HUMAN","P18037","Protein GENE1632",0.2471,1,0.677831,0,0.1689,5,5,FALSE,FALSE,FALSE
"GENE0143","GENE0143_HUMAN","P28704","Protein GENE0143",-0.0441,1,0.947073,0,0.0236,2,3,FALSE,FALSE,FALSE
"GENE0245","GENE0245_HUMAN","P36203","Protein GENE0245",0.3815,0.531998,0.313532,0.0443,0.5037,4,2,FALSE,FALSE,FALSE
"GENE1518","GENE1518_HUMAN","P47332","Protein GENE1518",0.1197,1,0.747012,0,0.1267,2,5,TRUE,FALSE,FALSE
"GENE0028","GENE0028_HUMAN","P25096","Protein GENE0028",-0.169,0.574027,0.224449,0.1735,0.6489,6,6,FALSE,FALSE,FALSE
"GENE0842","GENE0842_HUMAN","P99048","Protein GENE0842",-0.0333,0.672674,0.334211,0.2499,0.476,6,4,TRUE,FALSE,FALSE
"GENE1140","GENE1140_HUMAN","P83884","Protein GENE1140",-0.4711,1,0.356312,0,0.4482,2,6,FALSE,FALSE,FALSE
"GENE2260","GENE2260_HUMAN","P99074","Protein GENE2260",-3.1228,0.037476,0.008581,1.906,2.0665,6,6,FALSE,FALSE,TRUE
"GENE2341","GENE2341_HUMAN","P68656","Protein GENE2341",-0.1591,1,0.323015,0,0.4908,4,3,FALSE,FALSE,FALSE
"GENE0436","GENE0436_HUMAN","P96004","Protein GENE0436",-0.3078,1,0.796131,0,0.099,6,5,TRUE,FALSE,FALSE
"GENE2768","GENE2768_HUMAN","P69917","Protein GENE2768",-0.3842,1,0.292147,0,0.5344,2,6,FALSE,FALSE,FALSE
"GENE0882","GENE0882_HUMAN","P24445","Protein GENE0882",0.3053,1,0.592784,0,0.2271,4,3,FALSE,FALSE,FALSE
"GENE2633","GENE2633_HUMAN","P56751","Protein GENE2633",0.0067,0.668985,0.499553,0.1739,0.3014,4,3,FALSE,FALSE,FALSE
"GENE1776","GENE1776_HUMAN","P20448","Protein GENE1776",0.0421,1,0.642326,0,0.1922,2,5,TRUE,FALSE,FALSE
"GENE2871","GENE2871_HUMAN","P84752","Protein GENE2871",0.4698,1,0.639438,0.0564,0.1942,5,3,FALSE,FALSE,FALSE
"GENE1172","GENE1172_HUMAN","P91346","Protein GENE1172",0.9052,1,0.295224,0.1,0.5298,6,3,TRUE,FALSE,FALSE
"GENE1007","GENE1007_HUMAN","P03387","Protein GENE1007",0.0678,0.804005,0.69711,0,0.1567,2,6,FALSE,FALSE,FALSE
"GENE2843","GENE2843_HUMAN","P20297","Protein GENE2843",-0.4385,1,0.886735,0,0.0522,4,2,FALSE,FALSE,FALSE
"GENE0162","GENE0162_HUMAN","P75732","Protein GENE0162",0.1479,1,0.501615,0,0.2996,3,6,FALSE,FALSE,FALSE
"GENE0506","GENE0506_HUMAN","P63290","Protein GENE0506",-0.584,0.361397,0.165732,0.4284,0.7806,2,3,FALSE,FALSE,FALSE
"GENE1761","GENE1761_HUMAN","P14820","Protein GENE1761",2.9537,0.09738,0.032085,0.9504,1.4937,4,2,FALSE,FALSE,TRUE
"GENE1264","GENE1264_HUMAN","P40257","Protein GENE1264",0.2008,0.226192,0.06624,0.7365,1.1789,4,4,FALSE,TRUE,FALSE
"GENE1304","GENE1304_HUMAN","P16595","Protein GENE1304",-0.4615,1,0.649075,0,0.1877,2,4,FALSE,FALSE,FALSE
"GENE2696","GENE2696_HUMAN","P29037","Protein GENE2696",0.2295,1,0.927593,0,0.0326,4,4,FALSE,FALSE,FALSE
"GENE0963","GENE0963_HUMAN","P44576","Protein GENE0963",0.2771,0.415979,0.112591,0.828,0.9485,4,5,FALSE,FALSE,FALSE
"GENE0902","GENE0902_HUMAN","P07571","Protein GENE0902",-0.3719,0.134253,0.065669,0.8218,1.1826,5,2,FALSE,FALSE,FALSE
"GENE0396","GENE0396_HUMAN","P32318","Protein GENE0396",0.1495,1,0.601152,0,0.221,3,5,FALSE,FALSE,FALSE
"GENE1903","GENE1903_HUMAN","P25812","Protein GENE1903",0.0126,0.372083,0.247857,0.033,0.6058,4,4,TRUE,FALSE,FALSE
"GENE0535","GENE0535_HUMAN","P65314","Protein GENE0535",-0.0656,1,0.958816,0,0.0183,6,3,FALSE,FALSE,FALSE
"PPP6R1","PPP6R1_HUMAN","P43099","Protein PPP6R1",1.9657,0.032743,0.012826,1.8118,1.8919,5,5,TRUE,FALSE,TRUE
"GENE0558","GENE0558_HUMAN","P47459","Protein GENE0558",0.0484,1,0.420606,0.1283,0.3761,3,5,FALSE,FALSE,FALSE
"GENE1811","GENE1811_HUMAN","P55820","Protein GENE1811",0.4493,0.905879,0.211879,0.3699,0.6739,5,2,FALSE,FALSE,FALSE
"GENE2479","GENE2479_HUMAN","P14183","Protein GENE2479",-0.0458,1,0.499931,0,0.3011,5,4,FALSE,FALSE,FALSE
"GENE1961","GENE1961_HUMAN","P53004","Protein GENE1961",0.2728,1,0.707156,0,0.1505,5,3,FALSE,FALSE,FALSE
"GENE1982","GENE1982_HUMAN","P78486","Protein GENE1982",-0.1971,1,0.79726,0,0.0984,4,4,FALSE,FALSE,FALSE
"GENE1646","GENE1646_HUMAN","P11432","Protein GENE1646",0.2394,1,0.40548,0,0.392,5,4,FALSE,FALSE,FALSE
"GENE1223","GENE1223_HUMAN","P09548","Protein GENE1223",-0.2127,1,0.560279,0,0.2516,2,6,FALSE,FALSE,FALSE
"GENE1107","GENE1107_HUMAN","P54691","Protein GENE1107",2.1332,0.075842,0.042884,1.0676,1.3677,4,4,FALSE,FALSE,TRUE
"GENE1099","GENE1099_HUMAN","P74465","Protein GENE1099",0.3593,1,0.371389,0.3642,0.4302,4,6,FALSE,TRUE,FALSE
"GENE0463","GENE0463_HUMAN","P95784","Protein GENE0463",-0.0134,1,0.268435,0.5347,0.5712,4,4,FALSE,FALSE,FALSE
"GENE2635","GENE2635_HUMAN","P21412","Protein GENE2635",-0.1716,1,0.508558,0.2273,0.2937,6,4,FALSE,FALSE,FALSE
"GENE2810","GENE2810_HUMAN","P57302","Protein GENE2810",-0.0202,1,0.890064,0,0.0506,5,5,FALSE,FALSE,FALSE
"GENE2058","GENE2058_HUMAN","P58005","Protein GENE2058",1.0047,1,0.623894,0.1595,0.2049,4,2,FALSE,FALSE,FALSE
"GENE1033","GENE1033_HUMAN","P76897","Protein GENE1033",1.9588,0.233594,0.048359,1.2215,1.3155,2,2,FALSE,FALSE,TRUE
"SUGP2","SUGP2_HUMAN","P05302","Protein SUGP2",-0.3876,1,0.978729,0,0.0093,3,5,FALSE,FALSE,FALSE
"GENE1864","GENE1864_HUMAN","P90504","Protein GENE1864",0.0958,1,0.893923,0,0.0487,4,5,TRUE,FALSE,FALSE
"GENE1192","GENE1192_HUMAN","P99978","Protein GENE1192",2.4047,0.022988,0.01257,1.3152,1.9007,3,2,TRUE,TRUE,TRUE
"GENE0311","GENE0311_HUMAN","P01434","Protein GENE0311",-0.1838,1,0.606221,0,0.2174,4,3,FALSE,FALSE,FALSE
"GENE0619","GENE0619_HUMAN","P26877","Protein GENE0619",0.3882,0.966332,0.724039,0,0.1402,6,6,FALSE,FALSE,FALSE
"GENE0623","GENE0623_HUMAN","P05308","Protein GENE0623",0.2322,0.965801,0.27551,0.0452,0.5599,5,2,FALSE,TRUE,FALSE
"GENE1029","GENE1029_HUMAN","P94908","Protein GENE1029",0.6406,1,0.388611,0.2868,0.4105,3,3,TRUE,FALSE,FALSE
"GENE1466","GENE1466_HUMAN","P66245","Protein GENE1466",0.2296,0.135516,0.078643,0.7317,1.1043,5,5,FALSE,FALSE,FALSE
"LARP7","LARP7_HUMAN","P79113","Protein LARP7",-0.2901,0.651773,0.517196,0,0.2863,5,3,FALSE,FALSE,FALSE
"GENE0333","GENE0333_HUMAN","P43525","Protein GENE0333",0.4992,1,0.871531,0,0.0597,4,2,FALSE,FALSE,FALSE
"GENE1406","GENE1406_HUMAN","P52744","Protein GENE1406",1.2383,0.010733,0.009674,1.6143,2.0144,4,2,FALSE,FALSE,TRUE
"GENE2514","GENE2514_HUMAN","P55776","Protein GENE2514",0.0942,1,0.879277,0,0.0559,5,4,FALSE,FALSE,FALSE
"GENE0745","GENE0745_HUMAN","P82227","Protein GENE0745",0.1377,1,0.526713,0,0.2784,6,4,FALSE,TRUE,FALSE
"GENE0367","GENE0367_HUMAN","P33758","Protein GENE0367",0.1553,0.771135,0.409088,0.0092,0.3882,5,6,FALSE,FALSE,FALSE
"GENE1690","GENE1690_HUMAN","P92853","Protein GENE1690",-0.1399,1,0.7663,0,0.1156,5,5,FALSE,FALSE,FALSE
"GENE1136","GENE1136_HUMAN","P68352","Protein GENE1136",0.1337,0.629996,0.465771,0,0.3318,4,6,FALSE,FALSE,FALSE
"GENE1586","GENE1586_HUMAN","P22361","Protein GENE1586",-0.2372,1,0.71974,0,0.1428,4,4,FALSE,FALSE,FALSE
"GENE1186","GENE1186_HUMAN","P95215","Protein GENE1186",-0.6419,1,0.299635,0,0.5234,6,5,FALSE,FALSE,FALSE
"GENE0328","GENE0328_HUMAN","P81510","Protein GENE0328",-0.0726,0.647252,0.335064,0,0.4749,6,2,FALSE,TRUE,FALSE
"GENE1026","GENE1026_HUMAN","P25033","Protein GENE1026",0.2035,1,0.979053,0,0.0092,6,4,FALSE,FALSE,FALSE
"GENE2018","GENE2018_HUMAN","P62615","Protein GENE2018",0.4791,0.684566,0.200774,0.5445,0.6973,4,3,FALSE,FALSE,FALSE
"GENE1708","GENE1708_HUMAN","P19092","Protein GENE1708",-0.3843,1,0.548865,0,0.2605,5,5,FALSE,FALSE,FALSE
"GENE1506","GENE1506_HUMAN","P83690","Protein GENE1506",-0.0868,1,0.613149,0,0.2124,4,6,FALSE,FALSE,FALSE
"GENE0062","GENE0062_HUMAN","P85804","Protein GENE0062",-0.2023,0.617823,0.448531,0,0.3482,4,2,FALSE,FALSE,FALSE
"GENE1964","GENE1964_HUMAN","P52578","Protein GENE1964",-1.2193,0.161543,0.03577,1.0026,1.4465,4,5,FALSE,FALSE,TRUE
"GENE1457","GENE1457_HUMAN","P00877","Protein GENE1457",-0.1935,0.708884,0.144479,0.2369,0.8402,6,2,FALSE,FALSE,FALSE
"GENE1482","GENE1482_HUMAN","P74638","Protein GENE1482",0.0439,1,0.76835,0.0777,0.1144,4,3,FALSE,FALSE,FALSE
"GENE0837","GENE0837_HUMAN","P72354","Protein GENE0837",-0.2463,1,0.8567,0,0.0672,5,2,FALSE,FALSE,FALSE
"GENE0089","GENE0089_HUMAN","P61907","Protein GENE0089",-0.3322,1,0.812616,0,0.0901,5,5,FALSE,FALSE,FALSE
"GENE1258","GENE1258_HUMAN","P85471","Protein GENE1258",-0.4057,0.965471,0.384793,0.2051,0.4148,6,2,FALSE,TRUE,FALSE
"GENE0528","GENE0528_HUMAN","P22351","Protein GENE0528",-0.2377,0.556164,0.444622,0.3025,0.352,4,6,FALSE,FALSE,FALSE
"GENE2860","GENE2860_HUMAN","P32374","Protein GENE2860",-0.1142,1,0.972563,0,0.0121,5,6,FALSE,FALSE,FALSE
"GENE0022","GENE0022_HUMAN","P13081","Protein GENE0022",-0.2267,1,0.723846,0,0.1404,4,3,FALSE,FALSE,FALSE
"GENE1073","GENE1073_HUMAN","P76949","Protein GENE1073",0.239,1,0.353231,0.1193,0.4519,4,3,FALSE,FALSE,FALSE
"GENE0320","GENE0320_HUMAN","P56443","Protein GENE0320",0.6009,0.734548,0.177604,0.3344,0.7505,2,3,FALSE,FALSE,FALSE
"GENE0851","GENE0851_HUMAN","P79998","Protein GENE0851",3.3818,0.041805,0.009669,1.6355,2.0146,4,4,FALSE,FALSE,TRUE
"GENE1846","GENE1846_HUMAN","P78466","Protein GENE1846",0.3159,1,0.819694,0.0551,0.0863,3,6,FALSE,FALSE,FALSE
"GENE0803","GENE0803_HUMAN","P15419","Protein GENE0803",-0.5062,1,0.589758,0,0.2293,3,3,FALSE,FALSE,FALSE
"GENE2890","GENE2890_HUMAN","P00593","Protein GENE2890",-1.3406,0.114874,0.093679,0.6582,1.0284,5,4,FALSE,FALSE,FALSE
"GENE2439","GENE2439_HUMAN","P52615","Protein GENE2439",-0.285,0.747806,0.440174,0,0.3564,4,4,FALSE,FALSE,FALSE
"GENE2758","GENE2758_HUMAN","P52879","Protein GENE2758",-0.8117,1,0.545202,0,0.2634,5,4,FALSE,FALSE,FALSE
"GENE1286","GENE1286_HUMAN","P04475","Protein GENE1286",0.3276,1,0.515202,0,0.288,4,2,FALSE,FALSE,FALSE
"GENE2557","GENE2557_HUMAN","P29116","Protein GENE2557",0.0706,1,0.896261,0,0.0476,3,2,TRUE,FALSE,FALSE
"GENE1538","GENE1538_HUMAN","P53739","Protein GENE1538",0.3932,1,0.534387,0,0.2721,5,6,FALSE,FALSE,FALSE
"GENE0206","GENE0206_HUMAN","P90734","Protein GENE0206",-0.2154,0.725435,0.19336,0.4909,0.7136,3,5,FALSE,TRUE,FALSE
"GENE2236","GENE2236_HUMAN","P85527","Protein GENE2236",-0.946,0.002469,0.001622,2.422,2.7901,6,6,FALSE,FALSE,TRUE
"GENE2729","GENE2729_HUMAN","P12734","Protein GENE2729",0.3353,0.666525,0.519725,0.1796,0.2842,5,4,FALSE,FALSE,FALSE
"GENE1833","GENE1833_HUMAN","P10999","Protein GENE1833",-0.3955,1,0.821405,0,0.0854,2,4,FALSE,FALSE,FALSE
"GENE0129","GENE0129_HUMAN","P86762","Protein GENE0129",-0.4726,1,0.65315,0.0133,0.185,4,5,FALSE,TRUE,FALSE
"GENE1068","GENE1068_HUMAN","P66930","Protein GENE1068",-0.3932,1,0.795946,0,0.0991,5,6,TRUE,FALSE,FALSE
"GENE0984","GENE0984_HUMAN","P00026","Protein GENE0984",0.3445,0.779896,0.59886,0,0.2227,6,5,TRUE,FALSE,FALSE
"GENE2026","GENE2026_HUMAN","P52166","Protein GENE2026",0.6439,1,0.707928,0,0.15,4,4,TRUE,FALSE,FALSE
"GENE0870","GENE0870_HUMAN","P50663","Protein GENE0870",0.0107,1,0.817325,0,0.0876,4,6,FALSE,FALSE,FALSE
"GENE0498","GENE0498_HUMAN","P92947","Protein GENE0498",0.3745,0.439469,0.38397,0,0.4157,4,3,FALSE,TRUE,FALSE
"GENE1910","GENE1910_HUMAN","P08536","Protein GENE1910",3.9369,0.026351,0.006832,1.8462,2.1654,6,5,FALSE,FALSE,TRUE
"GENE2217","GENE2217_HUMAN","P56363","Protein GENE2217",0.0477,0.52147,0.140978,0.2737,0.8508,4,2,FALSE,FALSE,FALSE
"GENE1881","GENE1881_HUMAN","P15998","Protein GENE1881",-0.0443,0.993135,0.49118,0,0.3088,4,3,TRUE,FALSE,FALSE
"GENE0403","GENE0403_HUMAN","P95842","Protein GENE0403",-0.7934,1,0.655679,0,0.1833,6,2,FALSE,FALSE,FALSE
"GENE2147","GENE2147_HUMAN","P66828","Protein GENE2147",-0.9889,1,0.845475,0,0.0729,3,2,FALSE,FALSE,FALSE
"GENE2013","GENE2013_HUMAN","P01128","Protein GENE2013",-0.082,0.637381,0.333701,0.0258,0.4766,3,3,FALSE,FALSE,FALSE
"GENE0395","GENE0395_HUMAN","P31587","Protein GENE0395",2.8742,0.147554,0.04891,0.7891,1.3106,5,2,TRUE,FALSE,TRUE
"GENE1838","GENE1838_HUMAN","P74224","Protein GENE1838",0.0206,1,0.94734,0,0.0235,2,4,FALSE,FALSE,FALSE
"GENE0813","GENE0813_HUMAN","P01669","Protein GENE0813",-0.1541,0.55098,0.300253,0,0.5225,4,4,FALSE,FALSE,FALSE
"GENE2489","GENE2489_HUMAN","P58309","Protein GENE2489",0.2146,1,0.770273,0,0.1134,5,5,FALSE,FALSE,FALSE
"GENE2085","GENE2085_HUMAN","P83652","Protein GENE2085",0.0234,1,0.423064,0,0.3736,4,6,FALSE,FALSE,FALSE
"GENE2617","GENE2617_HUMAN","P87985","Protein GENE2617",0.3358,1,0.838373,0,0.0766,2,4,TRUE,FALSE,FALSE
"GENE1300","GENE1300_HUMAN","P35318","Protein GENE1300",0.3706,1,0.482253,0,0.3167,6,5,TRUE,FALSE,FALSE
"GENE2122","GENE2122_HUMAN","P01931","Protein GENE2122",0.2983,1,0.997698,0,0.001,6,3,FALSE,FALSE,FALSE
"GENE0947","GENE0947_HUMAN","P99833","Protein GENE0947",0.2117,1,0.829406,0,0.0812,6,5,TRUE,TRUE,FALSE
"GENE1758","GENE1758_HUMAN","P45525","Protein GENE1758",-0.1588,1,0.872618,0,0.0592,3,6,FALSE,FALSE,FALSE
"GENE0539","GENE0539_HUMAN","P77396","Protein GENE0539",0.1348,1,0.257765,0.0428,0.5888,6,3,FALSE,FALSE,FALSE
"GENE0312","GENE0312_HUMAN","P60839","Protein GENE0312",3.9539,0.032479,0.014101,1.226,1.8507,6,5,FALSE,TRUE,TRUE
"GENE2473","GENE2473_HUMAN","P22467","Protein GENE2473",-0.1136,1,0.522393,0,0.282,4,4,FALSE,FALSE,FALSE
"GENE0353","GENE0353_HUMAN","P14947","Protein GENE0353",0.5181,1,0.701841,0,0.1538,2,3,FALSE,FALSE,FALSE
"GENE0371","GENE0371_HUMAN","P07052","Protein GENE0371",-0.407,0.835409,0.43838,0.0605,0.3581,6,3,FALSE,TRUE,FALSE
"GENE0917","GENE0917_HUMAN","P27166","Protein GENE0917",0.1373,1,0.413839,0.3502,0.3832,3,2,FALSE,FALSE,FALSE
"GENE2814","GENE2814_HUMAN","P82841","Protein GENE2814",0.1029,0.913695,0.64219,0,0.1923,3,5,FALSE,FALSE,FALSE
"GENE1420","GENE1420_HUMAN","P65488","Protein GENE1420",0.9975,1,0.900286,0,0.0456,6,3,FALSE,FALSE,FALSE
"GENE0137","GENE0137_HUMAN","P14408","Protein GENE0137",0.4228,1,0.437861,0,0.3587,6,3,FALSE,FALSE,FALSE
"GENE1553","GENE1553_HUMAN","P05673","Protein GENE1553",-0.551,1,0.397948,0.386,0.4002,3,2,FALSE,FALSE,FALSE
"GENE0920","GENE0920_HUMAN","P63856","Protein GENE0920",-0.8263,1,0.600738,0,0.2213,3,2,FALSE,FALSE,FALSE
"GENE0454","GENE0454_HUMAN","P19740","Protein GENE0454",1.66,0.030391,0.019788,1.2296,1.7036,6,5,FALSE,FALSE,TRUE
"GENE2433","GENE2433_HUMAN","P63978","Protein GENE2433",0.0681,1,0.875778,0,0.0576,3,5,FALSE,FALSE,FALSE
"GENE2144","GENE2144_HUMAN","P93648","Protein GENE2144",-1.9133,0.11218,0.028149,1.3748,1.5505,3,6,FALSE,FALSE,TRUE
"GENE2415","GENE2415_HUMAN","P96380","Protein GENE2415",-0.1942,1,0.674214,0.0845,0.1712,6,6,FALSE,FALSE,FALSE
"GENE0169","GENE0169_HUMAN","P18997","Protein GENE0169",0.5012,0.783309,0.335483,0.1014,0.4743,3,5,FALSE,FALSE,FALSE
"GENE0209","GENE0209_HUMAN","P81458","Protein GENE0209",0.2254,1,0.931966,0,0.0306,4,6,FALSE,FALSE,FALSE
"GENE2655","GENE2655_HUMAN","P31313","Protein GENE2655",-0.7132,0.123341,0.109471,0.6506,0.9607,5,5,FALSE,FALSE,FALSE
